variable,category,data_type,model_ready_data_type,description,included_in_model,included_in_model_matrix,model_matrix_columns,missing_count,missing_pct,unique_values,example_values,min_value,max_value
anxiety_flag,Clinical conditions,int64,float64,Indicator for anxiety diagnosis/history.,True,True,anxiety_flag,0,0.0,2,0; 1,0.0,1.0
asthma_flag,Clinical conditions,int64,float64,Indicator for asthma diagnosis/history.,True,True,asthma_flag,0,0.0,2,1; 0,0.0,1.0
behavioral_health_risk_flag,Clinical conditions,int64,float64,Indicator for behavioral health risk.,True,True,behavioral_health_risk_flag,0,0.0,2,0; 1,0.0,1.0
chf_flag,Clinical conditions,int64,float64,Indicator for congestive heart failure diagnosis/history.,True,True,chf_flag,0,0.0,2,0; 1,0.0,1.0
ckd_flag,Clinical conditions,int64,float64,Indicator for chronic kidney disease diagnosis/history.,True,True,ckd_flag,0,0.0,2,0; 1,0.0,1.0
copd_flag,Clinical conditions,int64,float64,Indicator for COPD diagnosis/history.,True,True,copd_flag,0,0.0,2,0; 1,0.0,1.0
depression_flag,Clinical conditions,int64,float64,Indicator for depression diagnosis/history.,True,True,depression_flag,0,0.0,2,0; 1,0.0,1.0
diabetes_flag,Clinical conditions,int64,float64,Indicator for diabetes diagnosis/history.,True,True,diabetes_flag,0,0.0,2,0; 1,0.0,1.0
pregnancy_flag,Clinical conditions,int64,int64,Indicator for pregnancy status/history.,False,False,,0,0.0,1,0,0.0,0.0
substance_use_flag,Clinical conditions,int64,float64,Indicator for substance use-related risk or diagnosis.,True,True,substance_use_flag,0,0.0,2,0; 1,0.0,1.0
age,Demographics,int64,int64,Member age at the index point.,True,True,age,0,0.0,72,42; 73; 62; 35; 49,18.0,90.0
county,Demographics,object,category,Member county of residence.,True,True,county_County_A; county_County_B; county_County_C; county_County_D; county_County_E; county_County_F,0,0.0,6,County_C; County_A; County_D; County_E; County_F,,
dual_eligible,Demographics,int64,int64,Indicator or category for Medicare/Medicaid dual eligibility.,True,True,dual_eligible,0,0.0,2,1; 0,0.0,1.0
gender,Demographics,object,category,Member gender category.,True,True,gender_Female; gender_Male,0,0.0,2,Male; Female,,
language,Demographics,object,category,Preferred or primary language.,True,True,language_English; language_Other; language_Spanish,0,0.0,3,Spanish; English; Other,,
plan_type,Demographics,object,category,Health plan product or plan type.,True,True,plan_type_Commercial; plan_type_Dual; plan_type_Medicaid; plan_type_Medicare,0,0.0,4,Medicaid; Dual; Medicare; Commercial,,
current_risk_score,Medication and risk,float64,float64,Current overall risk score.,True,True,current_risk_score,0,0.0,352,42.7; 45.8; 45.0; 30.0; 38.0,14.5,79.8
high_cost_drug_flag,Medication and risk,int64,float64,Indicator for high-cost drug use.,True,True,high_cost_drug_flag,0,0.0,2,0; 1,0.0,1.0
med_adherence_pdc,Medication and risk,float64,float64,Medication adherence proportion of days covered.,True,True,med_adherence_pdc,0,0.0,440,0.919; 0.54; 0.903; 0.573; 0.756,0.238,0.997
opioid_flag,Medication and risk,int64,float64,Indicator for opioid medication use.,True,True,opioid_flag,0,0.0,2,0; 1,0.0,1.0
percolator_clinical_score,Medication and risk,float64,float64,Composite clinical risk score.,True,True,percolator_clinical_score,0,0.0,442,35.8; 54.0; 26.2; 30.1; 34.2,12.7,96.5
percolator_sdoh_score,Medication and risk,float64,float64,Composite social determinants of health risk score.,True,True,percolator_sdoh_score,0,0.0,445,23.7; 22.9; 29.4; 18.4; 28.0,2.9,85.0
