uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,30,0.0827975,0.1,0.3333333333333333,0.06753923,0.15033673,0.0827975,2.483924925327301,2980.7099103927612,7500,-4519.290089607239,-0.6025720119476319
2,30,0.072627574,0.03333333333333333,0.4,0.06363632,0.13626389,0.072627574,2.178827226161957,2614.592671394348,7500,-4885.407328605652,-0.6513876438140869
3,30,0.06971881,0.03333333333333333,0.43333333333333335,0.06535614,0.13507494,0.06971881,2.0915642380714417,2509.87708568573,7500,-4990.12291431427,-0.6653497219085693
4,30,0.06737799,0.03333333333333333,0.26666666666666666,0.06166388,0.12904187,0.06737799,2.0213397592306137,2425.6077110767365,7500,-5074.392288923264,-0.6765856385231018
5,30,0.06544241,0.0,0.4666666666666667,0.06406361,0.12950602,0.06544241,1.9632723927497864,2355.9268712997437,7500,-5144.073128700256,-0.6858764171600342
6,30,0.06139136,0.1,0.36666666666666664,0.06954061,0.13093197,0.06139136,1.84174083173275,2210.0889980793,7500,-5289.9110019207,-0.70532146692276
7,30,0.056369375,0.1,0.3333333333333333,0.076051064,0.13242044,0.056369375,1.6910812631249428,2029.2975157499313,7500,-5470.702484250069,-0.7294269979000092
8,30,0.05052868,0.1,0.5333333333333333,0.09384704,0.14437573,0.05052868,1.5158603712916374,1819.032445549965,7500,-5680.967554450035,-0.7574623405933381
9,30,0.042888757,0.06666666666666667,0.4,0.09692722,0.13981599,0.042888757,1.2866627052426338,1543.9952462911606,7500,-5956.004753708839,-0.7941339671611786
10,30,0.026938695,0.06666666666666667,0.5333333333333333,0.1090975,0.1360362,0.026938695,0.8081608638167381,969.7930365800858,7500,-6530.206963419914,-0.8706942617893219
