seed,split,group,n,events,event_rate
123,train,treated,276,11,0.03985507246376811
123,train,control,424,31,0.07311320754716981
123,test,treated,118,5,0.0423728813559322
123,test,control,182,13,0.07142857142857142
456,train,treated,276,11,0.03985507246376811
456,train,control,424,31,0.07311320754716981
456,test,treated,118,5,0.0423728813559322
456,test,control,182,13,0.07142857142857142
789,train,treated,276,11,0.03985507246376811
789,train,control,424,31,0.07311320754716981
789,test,treated,118,5,0.0423728813559322
789,test,control,182,13,0.07142857142857142
101,train,treated,276,11,0.03985507246376811
101,train,control,424,31,0.07311320754716981
101,test,treated,118,5,0.0423728813559322
101,test,control,182,13,0.07142857142857142
202,train,treated,276,11,0.03985507246376811
202,train,control,424,31,0.07311320754716981
202,test,treated,118,5,0.0423728813559322
202,test,control,182,13,0.07142857142857142
