seed,model,outcome_model_group,cv_auc,test_auc,cv_minus_test_auc,best_nrounds,best_alpha,best_lambda,test_factual_auc,test_factual_brier
123,XGBoost,treated,0.6364779874213837,0.8061946902654867,-0.169716702844103,6.0,,,0.6324862096138693,0.056543249636888504
123,XGBoost,control,0.6772321911562418,0.5116067364588075,0.16562545469743428,10.0,,,0.6324862096138693,0.056543249636888504
123,XGBoost_Regularized,treated,0.5,0.5,0.0,1.0,,,0.6301221434200158,0.05590157210826874
123,XGBoost_Regularized,control,0.6655210120399995,0.6586253982703687,0.006895613769630771,14.0,,,0.6301221434200158,0.05590157210826874
123,GLMNet,treated,0.719496855345912,0.904424778761062,-0.18492792341514996,,0.0,0.004520353656360241,0.6786840031520882,0.05535062695455079
123,GLMNet,control,0.6472427010401693,0.6599908966772873,-0.012748195637117932,,0.1,0.008531678524172805,0.6786840031520882,0.05535062695455079
456,XGBoost,treated,0.6880503144654087,0.7221238938053098,-0.03407357933990118,14.0,,,0.6240149724192278,0.05547517165541649
456,XGBoost,control,0.659603792831641,0.5455166135639509,0.11408717926769008,4.0,,,0.6240149724192278,0.05547517165541649
456,XGBoost_Regularized,treated,0.5,0.5,0.0,1.0,,,0.6379038613081167,0.05571964383125305
456,XGBoost_Regularized,control,0.6454339963833634,0.6766044606281293,-0.031170464244765883,11.0,,,0.6379038613081167,0.05571964383125305
456,GLMNet,treated,0.8421383647798744,0.7380530973451327,0.10408526743474167,,0.0,0.0006723357536499335,0.6668636721828212,0.055608002605478386
456,GLMNet,control,0.6414089426747654,0.682294037323623,-0.04088509464885759,,0.1,0.008531678524172805,0.6668636721828212,0.055608002605478386
789,XGBoost,treated,0.739622641509434,0.736283185840708,0.0033394556687260657,16.0,,,0.6970055161544524,0.055065054446458817
789,XGBoost,control,0.6326988763697624,0.6440600819299044,-0.011361205560141974,10.0,,,0.6970055161544524,0.055065054446458817
789,XGBoost_Regularized,treated,0.5,0.5,0.0,1.0,,,0.6498226950354611,0.05588291212916374
789,XGBoost_Regularized,control,0.6165793418957974,0.7041420118343196,-0.08756266993852213,13.0,,,0.6498226950354611,0.05588291212916374
789,GLMNet,treated,0.8779874213836477,0.6601769911504425,0.21781043023320523,,1.0,0.20433597178569418,0.6511032308904648,0.05614033346816422
789,GLMNet,control,0.6153691596729571,0.64815657715066,-0.03278741747770286,,0.0,0.0003562247890262444,0.6511032308904648,0.05614033346816422
101,XGBoost,treated,0.689308176100629,0.7345132743362831,-0.045205098235654106,21.0,,,0.6526792750197006,0.055493760854005814
101,XGBoost,control,0.6669487334044296,0.5867091488393263,0.08023958456510327,3.0,,,0.6526792750197006,0.055493760854005814
101,XGBoost_Regularized,treated,0.5,0.5,0.0,1.0,,,0.5899330181245075,0.05608747527003288
101,XGBoost_Regularized,control,0.6992210321324246,0.5657715065999089,0.13344952553251566,22.0,,,0.5899330181245075,0.05608747527003288
101,GLMNet,treated,0.7238993710691825,0.8035398230088495,-0.07964045193966707,,0.7,0.20433597178569418,0.6656816390858944,0.05493633669732322
101,GLMNet,control,0.716548430472481,0.516613563950842,0.19993486652163894,,0.3,0.01610262027560939,0.6656816390858944,0.05493633669732322
202,XGBoost,treated,0.6264150943396227,0.720353982300885,-0.09393888796126226,24.0,,,0.651103230890465,0.05562494322657585
202,XGBoost,control,0.62381647887977,0.5320892125625853,0.09172726631718464,2.0,,,0.651103230890465,0.05562494322657585
202,XGBoost_Regularized,treated,0.5,0.5,0.0,1.0,,,0.6087470449172578,0.05569157376885414
202,XGBoost_Regularized,control,0.6069906183830235,0.609239872553482,-0.0022492541704585145,23.0,,,0.6087470449172578,0.05569157376885414
202,GLMNet,treated,0.7119496855345911,0.8743362831858408,-0.16238659765124963,,0.0,0.008531678524172805,0.7109929078014184,0.055588959061251116
202,GLMNet,control,0.6942396562649726,0.6058261265361857,0.08841352972878691,,0.4,0.03039195382313198,0.7109929078014184,0.055588959061251116
