seed,model,top_decile_n,top_decile_events,top_decile_observed_ed_rate,top_decile_treated_n,top_decile_treated_events,top_decile_treated_ed_rate,top_decile_control_n,top_decile_control_events,top_decile_control_ed_rate,top_decile_avg_benefit_score
123,XGBoost,100,27,0.27,43,1,0.023255813953488372,57,26,0.45614035087719296,0.12205137312412262
123,XGBoost_Regularized,100,17,0.17,44,4,0.09090909090909091,56,13,0.23214285714285715,0.04398854076862335
123,GLMNet,100,7,0.07,43,1,0.023255813953488372,57,6,0.10526315789473684,0.043813275071799176
456,XGBoost,100,10,0.1,35,0,0.0,65,10,0.15384615384615385,0.05349656566977501
456,XGBoost_Regularized,100,20,0.2,41,5,0.12195121951219512,59,15,0.2542372881355932,0.05309140682220459
456,GLMNet,100,19,0.19,47,7,0.14893617021276595,53,12,0.22641509433962265,0.054586397739067066
789,XGBoost,100,25,0.25,39,1,0.02564102564102564,61,24,0.39344262295081966,0.10334866493940353
789,XGBoost_Regularized,100,19,0.19,45,6,0.13333333333333333,55,13,0.23636363636363636,0.041203856468200684
789,GLMNet,100,6,0.06,28,0,0.0,72,6,0.08333333333333333,0.06523372767741643
101,XGBoost,100,6,0.06,39,0,0.0,61,6,0.09836065573770492,0.056253500282764435
101,XGBoost_Regularized,100,18,0.18,47,7,0.14893617021276595,53,11,0.20754716981132076,0.060503408312797546
101,GLMNet,100,7,0.07,41,1,0.024390243902439025,59,6,0.1016949152542373,0.06908698403983057
202,XGBoost,100,9,0.09,31,0,0.0,69,9,0.13043478260869565,0.06547506153583527
202,XGBoost_Regularized,100,18,0.18,45,6,0.13333333333333333,55,12,0.21818181818181817,0.07569480687379837
202,GLMNet,100,14,0.14,52,4,0.07692307692307693,48,10,0.20833333333333334,0.0797348272724696
