model,seed_a,seed_b,top_decile_jaccard,overlap_count,union_count
GLMNet,101,123,0.09289617486338798,17,183
GLMNet,101,202,0.27388535031847133,43,157
GLMNet,101,456,0.19047619047619047,32,168
GLMNet,101,789,0.15606936416184972,27,173
GLMNet,123,202,0.08108108108108109,15,185
GLMNet,123,456,0.030927835051546393,6,194
GLMNet,123,789,0.04712041884816754,9,191
GLMNet,202,456,0.5384615384615384,70,130
GLMNet,202,789,0.09289617486338798,17,183
GLMNet,456,789,0.06951871657754011,13,187
XGBoost,101,123,0.05263157894736842,10,190
XGBoost,101,202,0.12359550561797752,22,178
XGBoost,101,456,0.0582010582010582,11,189
XGBoost,101,789,0.08695652173913043,16,184
XGBoost,123,202,0.06951871657754011,13,187
XGBoost,123,456,0.08108108108108109,15,185
XGBoost,123,789,0.32450331125827814,49,151
XGBoost,202,456,0.19047619047619047,32,168
XGBoost,202,789,0.08695652173913043,16,184
XGBoost,456,789,0.08695652173913043,16,184
XGBoost_Regularized,101,123,0.30718954248366015,47,153
XGBoost_Regularized,101,202,0.6129032258064516,76,124
XGBoost_Regularized,101,456,0.5625,72,128
XGBoost_Regularized,101,789,0.5037593984962406,67,133
XGBoost_Regularized,123,202,0.41843971631205673,59,141
XGBoost_Regularized,123,456,0.30718954248366015,47,153
XGBoost_Regularized,123,789,0.3793103448275862,55,145
XGBoost_Regularized,202,456,0.5384615384615384,70,130
XGBoost_Regularized,202,789,0.4925373134328358,66,134
XGBoost_Regularized,456,789,0.3793103448275862,55,145
