seed,model,member_index
123,XGBoost,5
123,XGBoost,25
123,XGBoost,42
123,XGBoost,49
123,XGBoost,55
123,XGBoost,56
123,XGBoost,57
123,XGBoost,64
123,XGBoost,79
123,XGBoost,82
123,XGBoost,83
123,XGBoost,90
123,XGBoost,103
123,XGBoost,108
123,XGBoost,115
123,XGBoost,130
123,XGBoost,170
123,XGBoost,189
123,XGBoost,190
123,XGBoost,206
123,XGBoost,272
123,XGBoost,275
123,XGBoost,291
123,XGBoost,296
123,XGBoost,310
123,XGBoost,331
123,XGBoost,336
123,XGBoost,344
123,XGBoost,349
123,XGBoost,357
123,XGBoost,361
123,XGBoost,375
123,XGBoost,406
123,XGBoost,409
123,XGBoost,413
123,XGBoost,421
123,XGBoost,427
123,XGBoost,431
123,XGBoost,443
123,XGBoost,444
123,XGBoost,449
123,XGBoost,454
123,XGBoost,462
123,XGBoost,479
123,XGBoost,480
123,XGBoost,483
123,XGBoost,493
123,XGBoost,504
123,XGBoost,514
123,XGBoost,516
123,XGBoost,521
123,XGBoost,535
123,XGBoost,536
123,XGBoost,547
123,XGBoost,560
123,XGBoost,561
123,XGBoost,565
123,XGBoost,567
123,XGBoost,572
123,XGBoost,576
123,XGBoost,590
123,XGBoost,599
123,XGBoost,604
123,XGBoost,620
123,XGBoost,624
123,XGBoost,643
123,XGBoost,666
123,XGBoost,673
123,XGBoost,683
123,XGBoost,687
123,XGBoost,696
123,XGBoost,706
123,XGBoost,708
123,XGBoost,709
123,XGBoost,711
123,XGBoost,723
123,XGBoost,725
123,XGBoost,730
123,XGBoost,731
123,XGBoost,735
123,XGBoost,752
123,XGBoost,762
123,XGBoost,781
123,XGBoost,782
123,XGBoost,805
123,XGBoost,807
123,XGBoost,859
123,XGBoost,861
123,XGBoost,862
123,XGBoost,864
123,XGBoost,871
123,XGBoost,873
123,XGBoost,890
123,XGBoost,900
123,XGBoost,902
123,XGBoost,903
123,XGBoost,947
123,XGBoost,954
123,XGBoost,961
123,XGBoost,967
123,XGBoost_Regularized,5
123,XGBoost_Regularized,16
123,XGBoost_Regularized,17
123,XGBoost_Regularized,20
123,XGBoost_Regularized,25
123,XGBoost_Regularized,43
123,XGBoost_Regularized,44
123,XGBoost_Regularized,56
123,XGBoost_Regularized,57
123,XGBoost_Regularized,79
123,XGBoost_Regularized,90
123,XGBoost_Regularized,92
123,XGBoost_Regularized,102
123,XGBoost_Regularized,103
123,XGBoost_Regularized,108
123,XGBoost_Regularized,114
123,XGBoost_Regularized,115
123,XGBoost_Regularized,130
123,XGBoost_Regularized,133
123,XGBoost_Regularized,176
123,XGBoost_Regularized,179
123,XGBoost_Regularized,189
123,XGBoost_Regularized,208
123,XGBoost_Regularized,216
123,XGBoost_Regularized,234
123,XGBoost_Regularized,236
123,XGBoost_Regularized,272
123,XGBoost_Regularized,275
123,XGBoost_Regularized,296
123,XGBoost_Regularized,303
123,XGBoost_Regularized,305
123,XGBoost_Regularized,310
123,XGBoost_Regularized,319
123,XGBoost_Regularized,336
123,XGBoost_Regularized,361
123,XGBoost_Regularized,366
123,XGBoost_Regularized,372
123,XGBoost_Regularized,409
123,XGBoost_Regularized,413
123,XGBoost_Regularized,421
123,XGBoost_Regularized,443
123,XGBoost_Regularized,444
123,XGBoost_Regularized,452
123,XGBoost_Regularized,459
123,XGBoost_Regularized,468
123,XGBoost_Regularized,469
123,XGBoost_Regularized,479
123,XGBoost_Regularized,483
123,XGBoost_Regularized,488
123,XGBoost_Regularized,504
123,XGBoost_Regularized,505
123,XGBoost_Regularized,511
123,XGBoost_Regularized,537
123,XGBoost_Regularized,556
123,XGBoost_Regularized,560
123,XGBoost_Regularized,561
123,XGBoost_Regularized,565
123,XGBoost_Regularized,567
123,XGBoost_Regularized,575
123,XGBoost_Regularized,578
123,XGBoost_Regularized,590
123,XGBoost_Regularized,598
123,XGBoost_Regularized,599
123,XGBoost_Regularized,604
123,XGBoost_Regularized,624
123,XGBoost_Regularized,633
123,XGBoost_Regularized,640
123,XGBoost_Regularized,643
123,XGBoost_Regularized,650
123,XGBoost_Regularized,666
123,XGBoost_Regularized,672
123,XGBoost_Regularized,687
123,XGBoost_Regularized,709
123,XGBoost_Regularized,711
123,XGBoost_Regularized,720
123,XGBoost_Regularized,726
123,XGBoost_Regularized,727
123,XGBoost_Regularized,730
123,XGBoost_Regularized,735
123,XGBoost_Regularized,781
123,XGBoost_Regularized,789
123,XGBoost_Regularized,827
123,XGBoost_Regularized,837
123,XGBoost_Regularized,860
123,XGBoost_Regularized,864
123,XGBoost_Regularized,871
123,XGBoost_Regularized,873
123,XGBoost_Regularized,877
123,XGBoost_Regularized,891
123,XGBoost_Regularized,898
123,XGBoost_Regularized,900
123,XGBoost_Regularized,903
123,XGBoost_Regularized,931
123,XGBoost_Regularized,937
123,XGBoost_Regularized,939
123,XGBoost_Regularized,944
123,XGBoost_Regularized,967
123,XGBoost_Regularized,970
123,XGBoost_Regularized,973
123,XGBoost_Regularized,974
123,GLMNet,17
123,GLMNet,22
123,GLMNet,39
123,GLMNet,56
123,GLMNet,70
123,GLMNet,83
123,GLMNet,105
123,GLMNet,125
123,GLMNet,129
123,GLMNet,132
123,GLMNet,137
123,GLMNet,139
123,GLMNet,145
123,GLMNet,147
123,GLMNet,149
123,GLMNet,151
123,GLMNet,154
123,GLMNet,156
123,GLMNet,197
123,GLMNet,206
123,GLMNet,208
123,GLMNet,210
123,GLMNet,225
123,GLMNet,228
