feature,mean_abs_shap,model
(Intercept),3.3220949172973633,Treated Model
percolator_clinical_score,0.07391394205701848,Treated Model
ckd_flag,0.0705739209180077,Treated Model
current_risk_score,0.06758700067177414,Treated Model
med_adherence_pdc,0.04019891550454001,Treated Model
countyCounty_E,0.037363927656163774,Treated Model
pcp_visits_last_6m,0.015197018909578522,Treated Model
admits_last_6m,0.01518677265693744,Treated Model
age,0.012748925319562355,Treated Model
dual_eligible,0.011938333579649529,Treated Model
percolator_sdoh_score,0.010769250174053013,Treated Model
percolator_utilization_score,0.00994546758166204,Treated Model
transportation_barrier_flag,0.008769151211405793,Treated Model
specialist_visits_last_6m,0.007702326434664428,Treated Model
genderMale,0.00555396426624308,Treated Model
total_cost_last_6m,0.005341140878930067,Treated Model
client_contractContract_A,0,Treated Model
client_contractContract_B,0,Treated Model
client_contractContract_C,0,Treated Model
service_regionEast,0,Treated Model
service_regionNorth,0,Treated Model
service_regionSouth,0,Treated Model
service_regionWest,0,Treated Model
programCM,0,Treated Model
programComplex_CM,0,Treated Model
case_manager_nameCM_02,0,Treated Model
case_manager_nameCM_03,0,Treated Model
case_manager_nameCM_04,0,Treated Model
case_manager_nameCM_05,0,Treated Model
case_manager_nameCM_06,0,Treated Model
case_manager_nameCM_07,0,Treated Model
case_manager_nameCM_08,0,Treated Model
case_manager_nameCM_09,0,Treated Model
case_manager_nameCM_10,0,Treated Model
case_manager_nameCM_11,0,Treated Model
case_manager_nameCM_12,0,Treated Model
case_manager_nameCM_13,0,Treated Model
case_manager_nameCM_14,0,Treated Model
case_manager_nameCM_15,0,Treated Model
countyCounty_B,0,Treated Model
countyCounty_C,0,Treated Model
countyCounty_D,0,Treated Model
countyCounty_F,0,Treated Model
plan_typeDual,0,Treated Model
plan_typeMedicaid,0,Treated Model
plan_typeMedicare,0,Treated Model
languageOther,0,Treated Model
languageSpanish,0,Treated Model
living_alone_flag,0,Treated Model
diabetes_flag,0,Treated Model
chf_flag,0,Treated Model
copd_flag,0,Treated Model
asthma_flag,0,Treated Model
depression_flag,0,Treated Model
anxiety_flag,0,Treated Model
substance_use_flag,0,Treated Model
behavioral_health_risk_flag,0,Treated Model
food_insecurity_flag,0,Treated Model
housing_instability_flag,0,Treated Model
utilities_insecurity_flag,0,Treated Model
ed_visits_last_30d,0,Treated Model
ed_visits_last_6m,0,Treated Model
observation_stays_last_6m,0,Treated Model
rx_count_last_6m,0,Treated Model
high_cost_drug_flag,0,Treated Model
opioid_flag,0,Treated Model
polypharmacy_flag,0,Treated Model
risk_tierLow,0,Treated Model
risk_tierMedium,0,Treated Model
risk_tierVery High,0,Treated Model
(Intercept),2.504021167755127,Control Model
current_risk_score,0.2410846642156442,Control Model
percolator_clinical_score,0.17231607154632608,Control Model
percolator_utilization_score,0.12127388525133331,Control Model
total_cost_last_6m,0.09756366116305193,Control Model
percolator_sdoh_score,0.08808987696344654,Control Model
age,0.07263045756767193,Control Model
med_adherence_pdc,0.05763757161175211,Control Model
pcp_visits_last_6m,0.05062054766962926,Control Model
ed_visits_last_6m,0.02996100659792622,Control Model
programCM,0.029812802666177352,Control Model
programComplex_CM,0.029532438023015858,Control Model
rx_count_last_6m,0.025809543660531443,Control Model
specialist_visits_last_6m,0.02486134714136521,Control Model
client_contractContract_A,0.018346153711900116,Control Model
genderMale,0.016941904037569958,Control Model
client_contractContract_B,0,Control Model
client_contractContract_C,0,Control Model
service_regionEast,0,Control Model
service_regionNorth,0,Control Model
service_regionSouth,0,Control Model
service_regionWest,0,Control Model
case_manager_nameCM_02,0,Control Model
case_manager_nameCM_03,0,Control Model
case_manager_nameCM_04,0,Control Model
case_manager_nameCM_05,0,Control Model
case_manager_nameCM_06,0,Control Model
case_manager_nameCM_07,0,Control Model
case_manager_nameCM_08,0,Control Model
case_manager_nameCM_09,0,Control Model
case_manager_nameCM_10,0,Control Model
case_manager_nameCM_11,0,Control Model
case_manager_nameCM_12,0,Control Model
case_manager_nameCM_13,0,Control Model
case_manager_nameCM_14,0,Control Model
case_manager_nameCM_15,0,Control Model
dual_eligible,0,Control Model
countyCounty_B,0,Control Model
countyCounty_C,0,Control Model
countyCounty_D,0,Control Model
countyCounty_E,0,Control Model
countyCounty_F,0,Control Model
plan_typeDual,0,Control Model
plan_typeMedicaid,0,Control Model
plan_typeMedicare,0,Control Model
languageOther,0,Control Model
languageSpanish,0,Control Model
living_alone_flag,0,Control Model
diabetes_flag,0,Control Model
chf_flag,0,Control Model
copd_flag,0,Control Model
asthma_flag,0,Control Model
depression_flag,0,Control Model
anxiety_flag,0,Control Model
substance_use_flag,0,Control Model
ckd_flag,0,Control Model
behavioral_health_risk_flag,0,Control Model
food_insecurity_flag,0,Control Model
housing_instability_flag,0,Control Model
transportation_barrier_flag,0,Control Model
utilities_insecurity_flag,0,Control Model
ed_visits_last_30d,0,Control Model
admits_last_6m,0,Control Model
observation_stays_last_6m,0,Control Model
high_cost_drug_flag,0,Control Model
opioid_flag,0,Control Model
polypharmacy_flag,0,Control Model
risk_tierLow,0,Control Model
risk_tierMedium,0,Control Model
risk_tierVery High,0,Control Model
