uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.11725215166807175,0.13333333333333333,0.4,0.04279021620750427,0.16004236787557602
2,30,0.08165925883998473,0.1,0.5666666666666667,0.0397050433481733,0.12136430218815804
3,30,0.0635912174358964,0.1,0.36666666666666664,0.03838632038484017,0.10197753782073657
4,30,0.050169338037570316,0.06666666666666667,0.3,0.03430749128262202,0.08447682932019233
5,30,0.039432716369628903,0.03333333333333333,0.3,0.03198770930369695,0.07142042567332586
6,30,0.03125647685180108,0.03333333333333333,0.3,0.03218058167646329,0.06343705852826437
7,30,0.023277908811966577,0.03333333333333333,0.26666666666666666,0.031749052926898,0.05502696173886458
8,30,0.016896118720372517,0.03333333333333333,0.3,0.0315238069742918,0.04841992569466432
9,30,0.010222946169475715,0,0.4666666666666667,0.031863458019991714,0.04208640418946743
10,30,8.586547027031581e-4,0.03333333333333333,0.5333333333333333,0.035449753825863205,0.03630840852856636
