uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,30,0.11725215166807175,0.13333333333333333,0.4,0.04279021620750427,0.16004236787557602,0.11725215166807175,3.5175645500421524,4221.077460050583,7500,-3278.922539949417,-0.4371896719932556
2,30,0.08165925883998473,0.1,0.5666666666666667,0.0397050433481733,0.12136430218815804,0.08165925883998473,2.449777765199542,2939.7333182394505,7500,-4560.2666817605495,-0.6080355575680733
3,30,0.0635912174358964,0.1,0.36666666666666664,0.03838632038484017,0.10197753782073657,0.0635912174358964,1.907736523076892,2289.2838276922703,7500,-5210.71617230773,-0.6947621563076973
4,30,0.050169338037570316,0.06666666666666667,0.3,0.03430749128262202,0.08447682932019233,0.050169338037570316,1.5050801411271095,1806.0961693525314,7500,-5693.903830647469,-0.7591871774196625
5,30,0.039432716369628903,0.03333333333333333,0.3,0.03198770930369695,0.07142042567332586,0.039432716369628903,1.1829814910888672,1419.5777893066406,7500,-6080.422210693359,-0.8107229614257813
6,30,0.03125647685180108,0.03333333333333333,0.3,0.03218058167646329,0.06343705852826437,0.03125647685180108,0.9376943055540323,1125.2331666648388,7500,-6374.766833335161,-0.8499689111113549
7,30,0.023277908811966577,0.03333333333333333,0.26666666666666666,0.031749052926898,0.05502696173886458,0.023277908811966577,0.6983372643589973,838.0047172307968,7500,-6661.995282769203,-0.8882660377025604
8,30,0.016896118720372517,0.03333333333333333,0.3,0.0315238069742918,0.04841992569466432,0.016896118720372517,0.5068835616111755,608.2602739334106,7500,-6891.739726066589,-0.918898630142212
9,30,0.010222946169475715,0,0.4666666666666667,0.031863458019991714,0.04208640418946743,0.010222946169475715,0.30668838508427143,368.0260621011257,7500,-7131.973937898874,-0.9509298583865166
10,30,8.586547027031581e-4,0.03333333333333333,0.5333333333333333,0.035449753825863205,0.03630840852856636,8.586547027031581e-4,0.025759641081094742,30.91156929731369,7500,-7469.088430702686,-0.9958784574270249
