model,uplift_decile,n,treated_n,control_n,treated_events,control_events,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95
XGBoost,1,191,76,115,20,69,0.2631578947368421,0.6,0.3368421052631579,0.19487618883886132,0.45759609494622194
XGBoost,2,191,82,109,19,47,0.23170731707317074,0.43119266055045874,0.199485343477288,0.06402453919418896,0.32147297909448724
XGBoost,3,191,101,90,13,21,0.12871287128712872,0.23333333333333334,0.10462046204620462,-0.004650038299091913,0.21480647450983115
XGBoost,4,191,96,95,7,15,0.07291666666666667,0.15789473684210525,0.08497807017543858,-0.007103939553700506,0.17902721769348393
XGBoost,5,190,88,102,12,10,0.13636363636363635,0.09803921568627451,-0.038324420677361845,-0.13579927239480066,0.05412042553090203
XGBoost,6,191,95,96,9,11,0.09473684210526316,0.11458333333333333,0.019846491228070168,-0.0704487563083694,0.11035579987810554
XGBoost,7,191,97,94,10,10,0.10309278350515463,0.10638297872340426,0.0032901952182496225,-0.08667612742211833,0.09431481129565614
XGBoost,8,191,78,113,19,11,0.24358974358974358,0.09734513274336283,-0.14624461084638074,-0.260126794094576,-0.039539271465463835
XGBoost,9,191,94,97,35,22,0.3723404255319149,0.2268041237113402,-0.14553630182057467,-0.2695098556578874,-0.015627637453033416
XGBoost,10,190,102,88,66,21,0.6470588235294118,0.23863636363636365,-0.40842245989304815,-0.5237036205603341,-0.2702968319098421
XGBoost X-Learner,1,191,92,99,23,36,0.25,0.36363636363636365,0.11363636363636365,-0.01755832665623805,0.23858163569666352
XGBoost X-Learner,2,191,93,98,16,27,0.17204301075268819,0.2755102040816326,0.10346719332894444,-0.01556955764744146,0.21815365146597615
XGBoost X-Learner,3,191,100,91,22,21,0.22,0.23076923076923078,0.010769230769230781,-0.10666350071885125,0.12989386863865632
XGBoost X-Learner,4,191,89,102,12,17,0.1348314606741573,0.16666666666666666,0.03183520599250936,-0.07315380199683155,0.13288494956898977
XGBoost X-Learner,5,190,87,103,18,29,0.20689655172413793,0.2815533980582524,0.07465684633411449,-0.04937924146321594,0.19255590792328733
XGBoost X-Learner,6,191,95,96,18,27,0.18947368421052632,0.28125,0.09177631578947368,-0.028952526192752584,0.20917851263658566
XGBoost X-Learner,7,191,94,97,16,12,0.1702127659574468,0.12371134020618557,-0.04650142575126123,-0.14892732951097676,0.05524107840284473
XGBoost X-Learner,8,191,84,107,15,22,0.17857142857142858,0.205607476635514,0.02703604806408544,-0.08878932056852262,0.1363156706704831
XGBoost X-Learner,9,191,82,109,31,27,0.3780487804878049,0.24770642201834864,-0.13034235846945624,-0.260027183524701,0.0012933810713208205
XGBoost X-Learner,10,190,93,97,39,19,0.41935483870967744,0.1958762886597938,-0.22347855004988362,-0.3449787407024935,-0.09258320453500127
Overlap-Weighted XGBoost T-Learner,1,191,73,118,19,79,0.2602739726027397,0.6694915254237288,0.4092175528209891,0.2670583292174904,0.5261887635104763
Overlap-Weighted XGBoost T-Learner,2,191,99,92,27,30,0.2727272727272727,0.32608695652173914,0.05335968379446643,-0.07553870440270005,0.18103802727061125
Overlap-Weighted XGBoost T-Learner,3,191,83,108,16,35,0.1927710843373494,0.32407407407407407,0.13130298973672466,0.004480157063964485,0.24798779725253423
Overlap-Weighted XGBoost T-Learner,4,191,101,90,15,13,0.1485148514851485,0.14444444444444443,-0.004070407040704077,-0.10466264989461602,0.09974051287925663
Overlap-Weighted XGBoost T-Learner,5,190,91,99,13,9,0.14285714285714285,0.09090909090909091,-0.05194805194805194,-0.1481310996927582,0.040859817072065235
Overlap-Weighted XGBoost T-Learner,6,191,98,93,6,6,0.061224489795918366,0.06451612903225806,0.003291639236339697,-0.07120494406117259,0.07986678026423391
Overlap-Weighted XGBoost T-Learner,7,191,89,102,7,6,0.07865168539325842,0.058823529411764705,-0.01982815598149372,-0.10111632077779265,0.05533226962300457
Overlap-Weighted XGBoost T-Learner,8,191,79,112,13,15,0.16455696202531644,0.13392857142857142,-0.03062839059674502,-0.1401563911551147,0.06939071725577305
Overlap-Weighted XGBoost T-Learner,9,191,93,98,37,23,0.3978494623655914,0.23469387755102042,-0.16315558481457096,-0.28822446944410207,-0.031322635939279225
Overlap-Weighted XGBoost T-Learner,10,190,103,87,57,21,0.5533980582524272,0.2413793103448276,-0.31201874790759954,-0.4327442494080972,-0.17353466346892626
