variable,category,n,missing_count,missing_pct,unique_values,mode,mode_count,mode_pct,top_values
anxiety_flag,Clinical Conditions,6360,0,0.0,2,0,4767,0.7495283018867924,0 (4767); 1 (1593)
asthma_flag,Clinical Conditions,6360,0,0.0,2,0,5860,0.9213836477987422,0 (5860); 1 (500)
bh_flag,Clinical Conditions,6360,0,0.0,2,0,4473,0.7033018867924529,0 (4473); 1 (1887)
cad_flag,Clinical Conditions,6360,0,0.0,2,1,3342,0.5254716981132076,1 (3342); 0 (3018)
chf_flag,Clinical Conditions,6360,0,0.0,2,0,4222,0.6638364779874214,0 (4222); 1 (2138)
ckd_flag,Clinical Conditions,6360,0,0.0,2,0,4281,0.6731132075471699,0 (4281); 1 (2079)
copd_flag,Clinical Conditions,6360,0,0.0,2,0,3704,0.5823899371069182,0 (3704); 1 (2656)
depression_flag,Clinical Conditions,6360,0,0.0,2,0,5648,0.8880503144654088,0 (5648); 1 (712)
diabetes_flag,Clinical Conditions,6360,0,0.0,2,1,3196,0.5025157232704403,1 (3196); 0 (3164)
htn_flag,Clinical Conditions,6360,0,0.0,2,1,5557,0.8737421383647799,1 (5557); 0 (803)
hyperlipidemia_flag,Clinical Conditions,6360,0,0.0,2,1,4653,0.7316037735849057,1 (4653); 0 (1707)
substance_use_flag,Clinical Conditions,6360,0,0.0,2,0,6124,0.9628930817610063,0 (6124); 1 (236)
client_contract,Demographics,6360,0,0.0,6,The Funds 93 PRE,4514,0.709748427672956,The Funds 93 PRE (4514); The Funds 92 (1025); The Funds CM (582); The Funds PR (143); The Funds 93 (78)
county,Demographics,6360,0,0.0,292,RALEIGH,394,0.061949685534591195,RALEIGH (394); PIKE (262); FAYETTE (237); BOONE (230); JEFFERSON (213)
dual_elg,Demographics,6360,0,0.0,2,1,6170,0.970125786163522,1 (6170); 0 (190)
gender,Demographics,6360,0,0.0,2,F,3188,0.5012578616352201,F (3188); M (3172)
state,Demographics,6360,0,0.0,34,WV,2290,0.360062893081761,WV (2290); KY (803); PA (622); IL (563); AL (441)
death_within_90d_flag,Mortality,6360,0,0.0,2,0.0,5615,0.8828616352201258,0.0 (5615); 1.0 (745)
opioid_flag,Pharmacy,6360,0,0.0,2,0,4145,0.6517295597484277,0 (4145); 1 (2215)
polypharmacy_flag,Pharmacy,6326,34,0.005345911949685534,2,1.0,3360,0.5283018867924528,1.0 (3360); 0.0 (2966)
risk_tier,Risk Scores,6360,0,0.0,5,Medium,2139,0.33632075471698114,Medium (2139); High (2136); Low (1144); Very High (907); Missing (34)
financial_strain_flag,SDOH,6360,0,0.0,2,0,4543,0.7143081761006289,0 (4543); 1 (1817)
food_insecurity_flag,SDOH,6360,0,0.0,2,0,4913,0.7724842767295598,0 (4913); 1 (1447)
healthliteracy_challenges_flag,SDOH,6360,0,0.0,2,0,4234,0.6657232704402516,0 (4234); 1 (2126)
housing_instability_flag,SDOH,6360,0,0.0,2,0,4952,0.7786163522012579,0 (4952); 1 (1408)
transportation_barrier_flag,SDOH,6360,0,0.0,2,0,4882,0.7676100628930818,0 (4882); 1 (1478)
