variable,category,n,missing_count,missing_pct,mean,median,std,min,p25,p75,max
age,Demographics,6360,0,0.0,77.26095542342767,76.910335,7.862421729300208,14.896646,72.344969,82.14236799999999,105.117043
rx_count_last_6m,Pharmacy,6315,45,0.007075471698113208,35.51417260490895,29.0,27.622413011795565,0.0,19.0,44.0,341.0
total_cost_last_6m,Pharmacy,5938,422,0.06635220125786163,27819.316805321658,18450.074999999997,46288.79993556037,-16284.2,9160.215,31344.39,1527816.73
current_risk_score,Risk Scores,6268,92,0.014465408805031447,6.348423302239151,5.2714344785,4.12773498946563,0.0,3.24754361675,8.43486911775,28.62614143
percolator_score,Risk Scores,6268,92,0.014465408805031447,723.2999461710274,600.1256599999999,509.3070230306255,0.0,315.35821999999996,970.98376,3292.34452
admits_last_6m,Utilization,6360,0,0.0,0.5886792452830188,0.0,0.9707132168365438,0.0,0.0,1.0,12.0
ed_visits_last_30d,Utilization,6360,0,0.0,0.24481132075471698,0.0,0.5545886829560441,0.0,0.0,0.0,5.0
ed_visits_last_6m,Utilization,6360,0,0.0,0.9551886792452831,0.0,1.5183642205377783,0.0,0.0,1.0,22.0
observation_stays_last_6m,Utilization,6360,0,0.0,0.17688679245283018,0.0,0.5346909194871999,0.0,0.0,0.0,8.0
op_visits_last_6m,Utilization,6360,0,0.0,6.898270440251572,6.0,4.864174663035342,0.0,3.0,9.0,47.0
