model,group,pred_risk_decile,n,avg_predicted_ed_rate,observed_ed_rate,calibration_error,abs_calibration_error
GLMNET,Treated,1,91,0.7268716163539669,0.46153846153846156,-0.26533315481550535,0.26533315481550535
GLMNET,Treated,2,91,0.4394305006397138,0.4725274725274725,0.03309697188775873,0.03309697188775873
GLMNET,Treated,3,91,0.31126300052778316,0.3076923076923077,-0.003570692835475453,0.003570692835475453
GLMNET,Treated,4,91,0.23545068457943688,0.21978021978021978,-0.015670464799217104,0.015670464799217104
GLMNET,Treated,5,91,0.17956164621420115,0.25274725274725274,0.07318560653305159,0.07318560653305159
GLMNET,Treated,6,91,0.1404142425612031,0.16483516483516483,0.024420922273961726,0.024420922273961726
GLMNET,Treated,7,91,0.10829328004761762,0.10989010989010989,0.0015968298424922645,0.0015968298424922645
GLMNET,Treated,8,91,0.07948050702809292,0.06593406593406594,-0.013546441094026987,0.013546441094026987
GLMNET,Treated,9,91,0.04693262518475039,0.1978021978021978,0.1508695726174474,0.1508695726174474
GLMNET,Treated,10,90,0.011937760235900706,0.05555555555555555,0.043617795319654845,0.043617795319654845
GLMNET,Control,1,100,0.7526626625073248,0.4,-0.3526626625073248,0.3526626625073248
GLMNET,Control,2,100,0.470523790170489,0.38,-0.090523790170489,0.090523790170489
GLMNET,Control,3,100,0.35167572079113574,0.33,-0.021675720791135722,0.021675720791135722
GLMNET,Control,4,100,0.2682845580025802,0.33,0.061715441997419795,0.061715441997419795
GLMNET,Control,5,100,0.21023128693608129,0.27,0.05976871306391873,0.05976871306391873
GLMNET,Control,6,100,0.16545399400388128,0.22,0.054546005996118724,0.054546005996118724
GLMNET,Control,7,100,0.12667717659453898,0.16,0.03332282340546103,0.03332282340546103
GLMNET,Control,8,100,0.08659640851710777,0.13,0.04340359148289223,0.04340359148289223
GLMNET,Control,9,100,0.052209889172912784,0.08,0.027790110827087218,0.027790110827087218
GLMNET,Control,10,99,0.011777394439255174,0.0707070707070707,0.058929676267815534,0.058929676267815534
