feature,mean_abs_model_contribution,coefficient,model,importance_type
ed_visits_last_6m,0.3571229855150686,0.5524247948015805,Treated Model,standardized_logit_contribution
age,0.19497961541321795,0.2570935538637916,Treated Model,standardized_logit_contribution
state_KY,0.18851461559178329,-0.27820283419779607,Treated Model,standardized_logit_contribution
risk_tier_2,0.14852076883496462,-0.15661191986989756,Treated Model,standardized_logit_contribution
opioid_flag,0.13388425387150998,0.13988227081973356,Treated Model,standardized_logit_contribution
risk_tier_3,0.13134407942900503,0.13787910580453347,Treated Model,standardized_logit_contribution
risk_tier_1,0.13073596520991554,-0.17180128984300047,Treated Model,standardized_logit_contribution
admits_last_6m,0.11662524489685616,0.1607530445904824,Treated Model,standardized_logit_contribution
housing_instability_flag,0.11558783861985113,-0.138183600106143,Treated Model,standardized_logit_contribution
copd_flag,0.11359295061272758,0.11551022896274576,Treated Model,standardized_logit_contribution
state_WV,0.09986671214814102,0.10368681921954019,Treated Model,standardized_logit_contribution
observation_stays_last_6m,0.09805108062329589,-0.17480779607640193,Treated Model,standardized_logit_contribution
risk_tier_4,0.09592894381039799,0.16068451093816896,Treated Model,standardized_logit_contribution
cad_flag,0.09485946422527158,0.09487649129320921,Treated Model,standardized_logit_contribution
state_AL,0.0903982519505432,0.17134240579075063,Treated Model,standardized_logit_contribution
polypharmacy_flag,0.08723161457725888,-0.08718799708008156,Treated Model,standardized_logit_contribution
htn_flag,0.07994634697424735,0.12697380901960112,Treated Model,standardized_logit_contribution
state_IN,0.07802079539284441,-0.1819631757136257,Treated Model,standardized_logit_contribution
bh_flag,0.07607170459449107,0.08414149810536393,Treated Model,standardized_logit_contribution
county_PIKE,0.07433846468587986,0.1888521456593782,Treated Model,standardized_logit_contribution
dual_elg,0.07239033958650873,0.21625298098165205,Treated Model,standardized_logit_contribution
state_IL,0.06576057076083944,0.11696375936132083,Treated Model,standardized_logit_contribution
ckd_flag,0.06355424812397516,0.06770777796585986,Treated Model,standardized_logit_contribution
county_WASHINGTON,0.06326758738250318,-0.23908662060099659,Treated Model,standardized_logit_contribution
op_visits_last_6m,0.059247634299843276,0.07946266695724047,Treated Model,standardized_logit_contribution
client_contract_The_Funds_PR,0.05767608353613372,-0.17931504243534685,Treated Model,standardized_logit_contribution
county_UNION,0.055723784265110834,-0.24924338838321253,Treated Model,standardized_logit_contribution
state_OH,0.052511210402987625,-0.11556918108924819,Treated Model,standardized_logit_contribution
county_RALEIGH,0.05135406157073997,-0.10744374011569963,Treated Model,standardized_logit_contribution
anxiety_flag,0.04871684247430865,0.057211843609128836,Treated Model,standardized_logit_contribution
county_JEFFERSON,0.04541090609701315,-0.1289910387547293,Treated Model,standardized_logit_contribution
client_contract_The_Funds_93_PRE,0.045177919912763015,0.04976343638735392,Treated Model,standardized_logit_contribution
county_MARSHALL,0.0437157532977705,-0.24724241805292663,Treated Model,standardized_logit_contribution
county_WISE,0.043706769592565684,0.18052949837400456,Treated Model,standardized_logit_contribution
state_PA,0.04344462131932681,-0.07253560464816207,Treated Model,standardized_logit_contribution
chf_flag,0.04241882858926028,0.04488719415716634,Treated Model,standardized_logit_contribution
client_contract_The_Funds_CM,0.04144465942877246,0.0706894229300986,Treated Model,standardized_logit_contribution
death_within_90d_flag,0.03810119296910327,-0.0631154587174635,Treated Model,standardized_logit_contribution
asthma_flag,0.0374343148690089,0.06744141886871598,Treated Model,standardized_logit_contribution
county_EMERY,0.036916099260692455,0.1754938428935694,Treated Model,standardized_logit_contribution
county_INDIANA,0.03331183119735947,-0.1762416384381122,Treated Model,standardized_logit_contribution
ed_visits_last_30d,0.03144863333303269,-0.04350818225641801,Treated Model,standardized_logit_contribution
county_MUHLENBERG,0.030548538031432624,0.11328970797324972,Treated Model,standardized_logit_contribution
county_WILLIAMSON,0.030100776575584156,-0.1344891694642056,Treated Model,standardized_logit_contribution
transportation_barrier_flag,0.02761965550285188,0.03223964206502143,Treated Model,standardized_logit_contribution
hyperlipidemia_flag,0.02758948047298032,-0.0316393371600302,Treated Model,standardized_logit_contribution
county_FAYETTE,0.02757951098789603,0.0728535882666322,Treated Model,standardized_logit_contribution
state_UT,0.02728138398228426,0.0837352640789798,Treated Model,standardized_logit_contribution
diabetes_flag,0.025456730641513135,-0.025456024253444492,Treated Model,standardized_logit_contribution
gender_F,0.025118043975475575,-0.025108711713964386,Treated Model,standardized_logit_contribution
gender_M,0.025118043975475575,0.025108711713964386,Treated Model,standardized_logit_contribution
county_GREENE,0.024202028320395086,-0.07497283296477139,Treated Model,standardized_logit_contribution
county_WYOMING,0.02359823777928789,-0.07525797630402778,Treated Model,standardized_logit_contribution
healthliteracy_challenges_flag,0.02272400001690304,0.02399781326406142,Treated Model,standardized_logit_contribution
percolator_score,0.022682078267024314,-0.030118849082675283,Treated Model,standardized_logit_contribution
county_GIBSON,0.02159130817019731,0.1009290265542133,Treated Model,standardized_logit_contribution
county_FRANKLIN,0.021295374095571726,-0.10656247316291002,Treated Model,standardized_logit_contribution
county_KANAWHA,0.020175864378737328,0.09020482868906265,Treated Model,standardized_logit_contribution
county_RUSSELL,0.01987661776170236,-0.17610259189622843,Treated Model,standardized_logit_contribution
county_JACKSON,0.019793169615973098,0.11743085675828165,Treated Model,standardized_logit_contribution
county_PRESTON,0.01975531174478976,0.12487075015582469,Treated Model,standardized_logit_contribution
risk_tier_5,0.019565783398872584,0.05495263559430871,Treated Model,standardized_logit_contribution
state_TN,0.018848929116869362,0.08636013807309686,Treated Model,standardized_logit_contribution
county_GALLIA,0.018529615041356876,-0.13445930832558745,Treated Model,standardized_logit_contribution
county_MCDOWELL,0.018261554072287252,0.0720020314964602,Treated Model,standardized_logit_contribution
county_FLOYD,0.016803239457630275,0.06829454806394909,Treated Model,standardized_logit_contribution
total_cost_last_6m,0.01677878546669284,-0.04258273665635681,Treated Model,standardized_logit_contribution
client_contract_The_Funds_93_ALT,0.01675474128965331,-0.21633585516016626,Treated Model,standardized_logit_contribution
county_MARION,0.01646018102534994,0.04551840164447083,Treated Model,standardized_logit_contribution
food_insecurity_flag,0.016111839649318227,-0.019013085685173278,Treated Model,standardized_logit_contribution
county_ALLEGHENY,0.016104898456634972,-0.13161159980474835,Treated Model,standardized_logit_contribution
county_WARRICK,0.015450173607257851,0.07974938684447479,Treated Model,standardized_logit_contribution
county_CAMBRIA,0.015424825850435812,0.06919984594208686,Treated Model,standardized_logit_contribution
county_NICHOLAS,0.01495916797419758,0.06551973822415245,Treated Model,standardized_logit_contribution
county_CULLMAN,0.01490766817215423,-0.1380667769327361,Treated Model,standardized_logit_contribution
risk_tier_Missing,0.014195421329442237,0.0960033184412992,Treated Model,standardized_logit_contribution
county_WETZEL,0.014087822929114905,0.1252142980712322,Treated Model,standardized_logit_contribution
county_CALHOUN,0.01354658971023855,0.11301589647783364,Treated Model,standardized_logit_contribution
county_WALKER,0.013047769295204407,-0.0585357419183132,Treated Model,standardized_logit_contribution
rx_count_last_6m,0.01275086827291688,0.018548491084081024,Treated Model,standardized_logit_contribution
depression_flag,0.012278766799658435,0.019296232313843815,Treated Model,standardized_logit_contribution
county_TAYLOR,0.012212327457326264,-0.0966493841474912,Treated Model,standardized_logit_contribution
county_LEE,0.011711389525508568,0.058861968190056166,Treated Model,standardized_logit_contribution
county_LYON,0.01160612865610902,0.12174285176583685,Treated Model,standardized_logit_contribution
county_NORTON_CITY,0.011509828702826847,-0.1258002993732475,Treated Model,standardized_logit_contribution
county_CHRISTIAN,0.011506996481518436,0.06739153355853618,Treated Model,standardized_logit_contribution
county_DOUGLAS,0.011243277318192434,0.17236020242896805,Treated Model,standardized_logit_contribution
county_LOGAN,0.010895227107172709,0.031595059695516806,Treated Model,standardized_logit_contribution
county_VANDERBURGH,0.010751804858705832,0.10271407749259741,Treated Model,standardized_logit_contribution
state_SC,0.010712798670448996,0.0707088700213699,Treated Model,standardized_logit_contribution
county_PUTNAM,0.010647028212656156,-0.09860702909789301,Treated Model,standardized_logit_contribution
county_MORGAN,0.010502394437290166,-0.09247108267389467,Treated Model,standardized_logit_contribution
county_HARRISON,0.01030647410835847,-0.0485969017667732,Treated Model,standardized_logit_contribution
county_JOHNSON,0.010264494767734954,0.11218902974455637,Treated Model,standardized_logit_contribution
county_SAINT_CLAIR,0.010185660167814758,0.06148288964011897,Treated Model,standardized_logit_contribution
