risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,37,335,0.11044776119402985,uplift_decile 1-2 (top 20%)
1,Medium benefit,188,335,0.5611940298507463,uplift_decile 3-7 (middle 50%)
1,Low benefit,110,335,0.3283582089552239,uplift_decile 8-10 (bottom 30%)
2,High benefit,120,651,0.18433179723502305,uplift_decile 1-2 (top 20%)
2,Medium benefit,387,651,0.5944700460829493,uplift_decile 3-7 (middle 50%)
2,Low benefit,144,651,0.22119815668202766,uplift_decile 8-10 (bottom 30%)
3,High benefit,154,662,0.2326283987915408,uplift_decile 1-2 (top 20%)
3,Medium benefit,282,662,0.4259818731117825,uplift_decile 3-7 (middle 50%)
3,Low benefit,226,662,0.3413897280966767,uplift_decile 8-10 (bottom 30%)
4,High benefit,57,188,0.30319148936170215,uplift_decile 1-2 (top 20%)
4,Medium benefit,70,188,0.3723404255319149,uplift_decile 3-7 (middle 50%)
4,Low benefit,61,188,0.324468085106383,uplift_decile 8-10 (bottom 30%)
5,High benefit,14,62,0.22580645161290322,uplift_decile 1-2 (top 20%)
5,Medium benefit,25,62,0.4032258064516129,uplift_decile 3-7 (middle 50%)
5,Low benefit,23,62,0.3709677419354839,uplift_decile 8-10 (bottom 30%)
