model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
GLMNET,1,0.100104821802935,191,90,101,25,33,0.4640562639151859,0.048954895489548955,-0.13487351546194515,0.2272869486997411,False
GLMNET,2,0.20020964360587,382,165,217,44,69,0.3254103972767315,0.051305683563748095,-0.07925110010222824,0.17757754087714706,False
GLMNET,3,0.300314465408805,573,267,306,59,102,0.2504108607210615,0.11235955056179772,0.008367504675085624,0.21256921742486967,False
GLMNET,4,0.40041928721174,764,354,410,72,130,0.20110739324410296,0.11368334022323273,0.025505469752275828,0.19888895422325817,False
GLMNET,5,0.5,954,445,509,91,146,0.16606472952116566,0.08234255314452218,0.0048343571192481505,0.15798592709488976,False
GLMNET,6,0.600104821802935,1145,548,597,102,157,0.1386052011763178,0.07685018767804963,0.008399021331049167,0.14396231031150908,True
GLMNET,7,0.70020964360587,1336,659,677,126,169,0.11507054807493221,0.05843193774193475,-0.004475678514895776,0.12058555351490163,True
GLMNET,8,0.800314465408805,1527,756,771,155,188,0.09206880340813249,0.038812714882753785,-0.020413971459969205,0.09759681649857677,True
GLMNET,9,0.90041928721174,1718,824,894,178,215,0.066872380321299,0.024472752546643217,-0.03177629285897171,0.0803069038621369,True
GLMNET,10,1.0,1908,909,999,210,237,0.024517628269398697,0.006214134927006232,-0.0476242038351031,0.059801697933362596,True
