uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,191,0.4640562639151859,0.3036649214659686,0.4712041884816754,0.16586924124210353,0.6299255051572894
2,191,0.18676453063827717,0.2879581151832461,0.39267015706806285,0.16473551808069023,0.3515000487189674
3,191,0.10041178760972133,0.2513089005235602,0.5340314136125655,0.1622611431135565,0.2626729307232778
4,191,0.053196990813227395,0.21465968586387435,0.45549738219895286,0.1448240787192553,0.19802106953248272
5,190,0.025156334340512444,0.18421052631578946,0.4789473684210526,0.15399492942335197,0.17915126376386442
6,191,0.0014513266161878416,0.11518324607329843,0.5392670157068062,0.14379345694633344,0.14524478356252127
7,191,-0.02601415245431668,0.18848167539267016,0.581151832460733,0.20633987049334815,0.18032571803903147
8,191,-0.06882298127691658,0.2513089005235602,0.5078534031413613,0.24137014973525234,0.17254716845833576
9,191,-0.13456708592788832,0.2617801047120419,0.35602094240837695,0.3447915135855442,0.21022442765765592
10,190,-0.3584584981788366,0.28421052631578947,0.4473684210526316,0.5518503692710374,0.19339187109220085
