model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
GLMNET,1,191,89,102,25,33,0.3036649214659686,0.2808988764044944,0.3235294117647059,0.0426305353602115,-0.08801666235625108,0.16922637716775535,0.46205113266269265,False,0.41942059730248116,0.41942059730248116,0.16547496959553576,0.6275261022582285,0.46596858638743455,newcombe_wilson_difference_in_proportions
GLMNET,2,191,76,115,20,37,0.29842931937172773,0.2631578947368421,0.3217391304347826,0.05858123569794049,-0.07541853273751242,0.18293186495989133,0.18558206204547506,False,0.12700082634753457,0.12700082634753457,0.16753350497058328,0.3531155670160584,0.39790575916230364,newcombe_wilson_difference_in_proportions
GLMNET,3,191,101,90,13,32,0.2356020942408377,0.12871287128712872,0.35555555555555557,0.22684268426842685,0.10615924028039617,0.34214005432607886,0.09951364567786919,False,-0.12732903859055766,0.12732903859055766,0.15934473056438525,0.2588583762422545,0.5287958115183246,newcombe_wilson_difference_in_proportions
GLMNET,4,191,89,102,14,30,0.23036649214659685,0.15730337078651685,0.29411764705882354,0.1368142762723067,0.016938718918492884,0.2494973522201202,0.0534877080559236,True,-0.0833265682163831,0.0833265682163831,0.13895809066596065,0.19244579872188425,0.46596858638743455,newcombe_wilson_difference_in_proportions
GLMNET,5,190,94,96,20,13,0.1736842105263158,0.2127659574468085,0.13541666666666666,-0.07734929078014185,-0.18529306236947912,0.031305422216174494,0.025297678959057206,True,0.10264696973919907,0.10264696973919907,0.1511240294678313,0.1764217084268885,0.49473684210526314,newcombe_wilson_difference_in_proportions
GLMNET,6,191,101,90,12,11,0.12041884816753927,0.1188118811881188,0.12222222222222222,0.003410341034103412,-0.09021196285460484,0.10050557108904845,0.0016924032243201396,True,-0.0017179378097832722,0.0017179378097832722,0.14615956099560845,0.1478519642199286,0.5287958115183246,newcombe_wilson_difference_in_proportions
GLMNET,7,191,106,85,20,14,0.17801047120418848,0.18867924528301888,0.16470588235294117,-0.023973362930077707,-0.13025184856497685,0.08838599473011073,-0.02532492827935468,True,-0.001351565349276971,0.001351565349276971,0.21408187832823436,0.18875695004887963,0.5549738219895288,newcombe_wilson_difference_in_proportions
GLMNET,8,191,98,93,29,16,0.2356020942408377,0.29591836734693877,0.17204301075268819,-0.12387535659425059,-0.23942416444367642,-0.003122499490271477,-0.06891508839229066,True,0.05496026820195993,0.05496026820195993,0.23009529501131273,0.16118020661902202,0.5130890052356021,newcombe_wilson_difference_in_proportions
GLMNET,9,191,72,119,28,29,0.29842931937172773,0.3888888888888889,0.24369747899159663,-0.14519140989729226,-0.27937698467990235,-0.011101393733404102,-0.13565661439495688,True,0.00953479550233538,0.00953479550233538,0.3598807553140476,0.22422414091909074,0.3769633507853403,newcombe_wilson_difference_in_proportions
GLMNET,10,190,83,107,29,22,0.26842105263157895,0.3493975903614458,0.205607476635514,-0.14379011372593178,-0.269499537606714,-0.016418815146836158,-0.36387653103823914,False,-0.22008641731230735,0.22008641731230735,0.5491109432311208,0.18523441219288167,0.4368421052631579,newcombe_wilson_difference_in_proportions
