model,group,pred_risk_decile,n,avg_predicted_ed_rate,observed_ed_rate,calibration_error,abs_calibration_error
XGBoost,Treated,1,91,0.70650727,0.6373626373626373,-0.06914462820514222,0.06914462820514222
XGBoost,Treated,2,91,0.47786474,0.5384615384615384,0.0605967961824857,0.0605967961824857
XGBoost,Treated,3,91,0.34569767,0.43956043956043955,0.0938627683854365,0.0938627683854365
XGBoost,Treated,4,91,0.22947831,0.32967032967032966,0.10019201515140114,0.10019201515140114
XGBoost,Treated,5,91,0.1500418,0.13186813186813187,-0.01817367184948135,0.01817367184948135
XGBoost,Treated,6,91,0.099713385,0.07692307692307693,-0.02279030818205613,0.02279030818205613
XGBoost,Treated,7,91,0.06841132,0.054945054945054944,-0.013466265502866809,0.013466265502866809
XGBoost,Treated,8,91,0.048201937,0.04395604395604396,-0.004245893272397279,0.004245893272397279
XGBoost,Treated,9,91,0.032951523,0.04395604395604396,0.011004521337511779,0.011004521337511779
XGBoost,Treated,10,90,0.01529335,0.011111111111111112,-0.004182239332132869,0.004182239332132869
XGBoost,Control,1,100,0.7556411,0.64,-0.1156411027908325,0.1156411027908325
XGBoost,Control,2,100,0.51841927,0.56,0.04158073425292974,0.04158073425292974
XGBoost,Control,3,100,0.34286174,0.41,0.06713825821876523,0.06713825821876523
XGBoost,Control,4,100,0.23620448,0.23,-0.006204475164413442,0.006204475164413442
XGBoost,Control,5,100,0.15397601,0.13,-0.023976008296012874,0.023976008296012874
XGBoost,Control,6,100,0.106440976,0.09,-0.016440976262092594,0.016440976262092594
XGBoost,Control,7,100,0.07124166,0.15,0.07875833809375762,0.07875833809375762
XGBoost,Control,8,100,0.0440391,0.06,0.01596089959144592,0.01596089959144592
XGBoost,Control,9,100,0.024621723,0.04,0.015378276780247689,0.015378276780247689
XGBoost,Control,10,99,0.009994046,0.06060606060606061,0.05061201477479754,0.05061201477479754
