targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.09958071278825996,190,84.33437376,101201.248512
Uplift score,2,0.19916142557651992,380,123.68471305999999,148421.655672
Uplift score,3,0.29874213836477986,570,143.854821569,172625.7858828
Uplift score,4,0.39832285115303984,760,152.44575900799998,182934.91080959997
Uplift score,5,0.4979035639412998,950,154.25576182916902,185106.9141950028
Uplift score,6,0.5974842767295597,1140,151.913992603569,182296.7911242828
Uplift score,7,0.6970649895178197,1330,145.062710182569,174075.2522190828
Uplift score,8,0.7966457023060797,1520,131.44240832656897,157730.88999188275
Uplift score,9,0.8962264150943396,1710,103.294859328569,123953.8311942828
Uplift score,10,1.0,1908,33.00895654856899,39610.74785828279
Current risk score,1,0.09958071278825996,190,8.232459068699999,9878.950882439998
Current risk score,2,0.19916142557651992,380,4.90406098697,5884.873184364001
Current risk score,3,0.29874213836477986,570,5.49101008037,6589.212096444
Current risk score,4,0.39832285115303984,760,4.224893271507002,5069.871925808402
Current risk score,5,0.4979035639412998,950,10.272049203657001,12326.459044388403
Current risk score,6,0.5974842767295597,1140,26.240886758057,31489.0641096684
Current risk score,7,0.6970649895178197,1330,24.301744013625,29162.09281635
Current risk score,8,0.7966457023060797,1520,28.989104271792,34786.9251261504
Current risk score,9,0.8962264150943396,1710,29.218396970332,35062.0763643984
Current risk score,10,1.0,1908,33.008956548569,39610.747858282804
