targeting_approach_model,through_decile,targeting_band,additional_members,additional_ed_visits_avoided_model,additional_gross_savings_model,targeting_approach_current_risk,additional_ed_visits_avoided_current_risk,additional_gross_savings_current_risk,additional_ed_visits_avoided_advantage,additional_gross_savings_advantage
XGBoost benefit score,1,Top 0-10%,190,84.33437376,101201.248512,Current risk score,8.232459068699999,9878.950882439998,76.10191469130001,91322.29762956001
XGBoost benefit score,2,Top 10-20%,190,39.35033929999999,47220.40715999999,Current risk score,-3.3283980817299987,-3994.0776980759974,42.67873738172999,51214.484858075986
XGBoost benefit score,3,Top 20-30%,190,20.170108509000002,24204.13021080001,Current risk score,0.5869490933999995,704.3389120799993,19.5831594156,23499.79129872001
XGBoost benefit score,4,Top 30-40%,190,8.590937438999987,10309.124926799966,Current risk score,-1.2661168088629982,-1519.340170635598,9.857054247862985,11828.465097435565
XGBoost benefit score,5,Top 40-50%,190,1.8100028211690358,2172.0033854028443,Current risk score,6.04715593215,7256.587118580001,-4.237153110980964,-5084.583733177156
XGBoost benefit score,6,Top 50-60%,190,-2.341769225600018,-2810.123070720001,Current risk score,15.9688375544,19162.605065279997,-18.31060678000002,-21972.728135999998
XGBoost benefit score,7,Top 60-70%,190,-6.851282421000008,-8221.538905200025,Current risk score,-1.9391427444320009,-2326.971293318402,-4.912139676568007,-5894.567611881623
XGBoost benefit score,8,Top 70-80%,190,-13.620301856000026,-16344.362227200036,Current risk score,4.687360258167001,5624.832309800404,-18.307662114167027,-21969.19453700044
XGBoost benefit score,9,Top 80-90%,190,-28.147548997999962,-33777.05879759995,Current risk score,0.22929269854000012,275.1512382479996,-28.376841696539962,-34052.21003584795
XGBoost benefit score,10,Top 90-100%,198,-70.28590278000001,-84343.08333600001,Current risk score,3.7905595782370014,4548.671493884402,-74.07646235823702,-88891.75482988442
