targeting_approach,through_decile,targeting_band,additional_members,additional_ed_visits_avoided,additional_gross_savings
Uplift score,1,Top 0-10%,190.0,84.33437376,101201.248512
Uplift score,2,Top 10-20%,190.0,39.35033929999999,47220.40715999999
Uplift score,3,Top 20-30%,190.0,20.170108509000002,24204.13021080001
Uplift score,4,Top 30-40%,190.0,8.590937438999987,10309.124926799966
Uplift score,5,Top 40-50%,190.0,1.8100028211690358,2172.0033854028443
Uplift score,6,Top 50-60%,190.0,-2.341769225600018,-2810.123070720001
Uplift score,7,Top 60-70%,190.0,-6.851282421000008,-8221.538905200025
Uplift score,8,Top 70-80%,190.0,-13.620301856000026,-16344.362227200036
Uplift score,9,Top 80-90%,190.0,-28.147548997999962,-33777.05879759995
Uplift score,10,Top 90-100%,198.0,-70.28590278000001,-84343.08333600001
Current risk score,1,Top 0-10%,190.0,8.232459068699999,9878.950882439998
Current risk score,2,Top 10-20%,190.0,-3.3283980817299987,-3994.0776980759974
Current risk score,3,Top 20-30%,190.0,0.5869490933999995,704.3389120799993
Current risk score,4,Top 30-40%,190.0,-1.2661168088629982,-1519.340170635598
Current risk score,5,Top 40-50%,190.0,6.04715593215,7256.587118580001
Current risk score,6,Top 50-60%,190.0,15.9688375544,19162.605065279997
Current risk score,7,Top 60-70%,190.0,-1.9391427444320009,-2326.971293318402
Current risk score,8,Top 70-80%,190.0,4.687360258167001,5624.832309800404
Current risk score,9,Top 80-90%,190.0,0.22929269854000012,275.1512382479996
Current risk score,10,Top 90-100%,198.0,3.7905595782370014,4548.671493884402
