feature,mean_abs_shap,model
ed_visits_last_6m,0.7718991,Treated Model
total_cost_last_6m,0.3014778,Treated Model
age,0.29498228,Treated Model
percolator_score,0.23549548,Treated Model
housing_instability_flag,0.17090262,Treated Model
current_risk_score,0.13747871,Treated Model
op_visits_last_6m,0.13681476,Treated Model
rx_count_last_6m,0.12440768,Treated Model
admits_last_6m,0.09999053,Treated Model
copd_flag,0.09790756,Treated Model
opioid_flag,0.097456485,Treated Model
cad_flag,0.06198905,Treated Model
healthliteracy_challenges_flag,0.05773423,Treated Model
anxiety_flag,0.052593626,Treated Model
asthma_flag,0.051908933,Treated Model
chf_flag,0.047832523,Treated Model
state_OH,0.046350174,Treated Model
ckd_flag,0.045746554,Treated Model
state_WV,0.042034555,Treated Model
food_insecurity_flag,0.03805961,Treated Model
depression_flag,0.037724674,Treated Model
county_RALEIGH,0.037523795,Treated Model
gender_F,0.036533896,Treated Model
county_LOGAN,0.036182206,Treated Model
ed_visits_last_30d,0.03416131,Treated Model
state_KY,0.03309428,Treated Model
state_IN,0.03266275,Treated Model
county_WISE,0.03224425,Treated Model
state_PA,0.02902224,Treated Model
state_TN,0.027716981,Treated Model
htn_flag,0.027119014,Treated Model
risk_tier_High,0.02440263,Treated Model
risk_tier_Low,0.023981977,Treated Model
hyperlipidemia_flag,0.02329897,Treated Model
bh_flag,0.023084195,Treated Model
financial_strain_flag,0.021263858,Treated Model
diabetes_flag,0.021003516,Treated Model
county_UNION,0.020627286,Treated Model
transportation_barrier_flag,0.020524072,Treated Model
client_contract_The_Funds_92,0.019427309,Treated Model
client_contract_The_Funds_93_PRE,0.019260839,Treated Model
observation_stays_last_6m,0.017846348,Treated Model
county_FAYETTE,0.016772391,Treated Model
county_GREENE,0.016303176,Treated Model
substance_use_flag,0.015174529,Treated Model
state_AL,0.015006321,Treated Model
death_within_90d_flag,0.0149897775,Treated Model
dual_elg,0.0147379525,Treated Model
state_FL,0.014344552,Treated Model
risk_tier_Medium,0.014288568,Treated Model
county_WILLIAMSON,0.013954677,Treated Model
county_CHRISTIAN,0.011962953,Treated Model
county_JEFFERSON,0.011623135,Treated Model
county_KANAWHA,0.01095295,Treated Model
client_contract_The_Funds_CM,0.010847769,Treated Model
gender_M,0.010803777,Treated Model
polypharmacy_flag,0.010460578,Treated Model
county_WYOMING,0.00964242,Treated Model
state_IL,0.008336083,Treated Model
