risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,22,335,0.06567164179104477,uplift_decile 1-2 (top 20%)
1,Medium benefit,237,335,0.7074626865671642,uplift_decile 3-7 (middle 50%)
1,Low benefit,76,335,0.22686567164179106,uplift_decile 8-10 (bottom 30%)
2,High benefit,99,651,0.15207373271889402,uplift_decile 1-2 (top 20%)
2,Medium benefit,365,651,0.5606758832565284,uplift_decile 3-7 (middle 50%)
2,Low benefit,187,651,0.2872503840245776,uplift_decile 8-10 (bottom 30%)
3,High benefit,199,662,0.30060422960725075,uplift_decile 1-2 (top 20%)
3,Medium benefit,265,662,0.4003021148036254,uplift_decile 3-7 (middle 50%)
3,Low benefit,198,662,0.2990936555891239,uplift_decile 8-10 (bottom 30%)
4,High benefit,45,188,0.2393617021276596,uplift_decile 1-2 (top 20%)
4,Medium benefit,62,188,0.32978723404255317,uplift_decile 3-7 (middle 50%)
4,Low benefit,81,188,0.4308510638297872,uplift_decile 8-10 (bottom 30%)
5,High benefit,15,62,0.24193548387096775,uplift_decile 1-2 (top 20%)
5,Medium benefit,20,62,0.3225806451612903,uplift_decile 3-7 (middle 50%)
5,Low benefit,27,62,0.43548387096774194,uplift_decile 8-10 (bottom 30%)
