model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
XGBoost,1,0.100104821802935,191,76,115,20,69,0.44300368,0.3368421052631579,0.19487618883886132,0.45759609494622194,True
XGBoost,2,0.20020964360587,382,158,224,39,116,0.32456258,0.27102169981916824,0.17337207430522206,0.35964505546038805,True
XGBoost,3,0.300314465408805,573,259,314,52,137,0.25141528,0.2355335317118757,0.16004547174670114,0.3063555953831731,True
XGBoost,4,0.40041928721174,764,355,409,59,152,0.19966757,0.2054409587106994,0.14339384715061604,0.264768223751917,True
XGBoost,5,0.5,954,443,511,71,162,0.16167825,0.1567545599519377,0.10306138781567442,0.20875208846155302,True
XGBoost,6,0.600104821802935,1145,538,607,80,173,0.13257563,0.13630935247392564,0.08889719305910301,0.18259298813054442,True
XGBoost,7,0.70020964360587,1336,635,701,90,183,0.10834992,0.11932335134285102,0.07656968316218316,0.16131283230445498,True
XGBoost,8,0.800314465408805,1527,713,814,109,194,0.08562837,0.08545406301367031,0.04566711578381494,0.12457157517696776,True
XGBoost,9,0.90041928721174,1718,807,911,144,216,0.05913017,0.05866342391016041,0.020183776932962416,0.09663201874420704,True
XGBoost,10,1.0,1908,909,999,210,237,0.017300291,0.006214134927006232,-0.03192070988653955,0.04411453931967267,True
