uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,191,0.4430037,0.46596858638743455,0.39790575916230364,0.17088193,0.6138856
2,191,0.20612152,0.34554973821989526,0.4293193717277487,0.21516277,0.4212843
3,191,0.10512064,0.17801047120418848,0.5287958115183246,0.16665827,0.27177888
4,191,0.04442448,0.11518324607329843,0.5026178010471204,0.10202769,0.14645217
5,190,0.008921192,0.11578947368421053,0.4631578947368421,0.11155655,0.12047774
6,191,-0.012785139,0.10471204188481675,0.4973821989528796,0.09219402,0.07940889
7,191,-0.03687748,0.10471204188481675,0.5078534031413613,0.1154934,0.078615926
8,191,-0.07330364,0.15706806282722513,0.4083769633507853,0.20875949,0.13545586
9,191,-0.15271656,0.29842931937172773,0.49214659685863876,0.34912014,0.19640356
10,190,-0.3609299,0.45789473684210524,0.5368421052631579,0.53411686,0.17318697
