model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
XGBoost,1,191,79,112,20,68,0.4607329842931937,0.25316455696202533,0.6071428571428571,0.35397830018083176,0.15564005851927626,0.5223184213010847,0.4316558,True,0.07767749420126357,0.07767749420126357,0.14909352,0.5807494,0.41361256544502617,newcombe_wilson_difference_in_proportions
XGBoost,2,191,87,104,20,36,0.2931937172774869,0.22988505747126436,0.34615384615384615,0.11626878868258178,-0.06690572227274222,0.28755874117369506,0.2112942,True,0.09502541531407654,0.09502541531407654,0.18436448,0.39565864,0.45549738219895286,newcombe_wilson_difference_in_proportions
XGBoost,3,191,95,96,16,35,0.2670157068062827,0.16842105263157894,0.3645833333333333,0.19616228070175437,0.01903630974601339,0.3579351886837278,0.11587846,True,-0.0802838179103115,0.0802838179103115,0.1447946,0.26067308,0.4973821989528796,newcombe_wilson_difference_in_proportions
XGBoost,4,191,103,88,13,11,0.1256544502617801,0.1262135922330097,0.125,-0.0012135922330097082,-0.13278846493505866,0.13485278069227732,0.05890303,True,0.06011662328416861,0.06011662328416861,0.12110819,0.18001121,0.5392670157068062,newcombe_wilson_difference_in_proportions
XGBoost,5,190,92,98,6,10,0.08421052631578947,0.06521739130434782,0.10204081632653061,0.03682342502218279,-0.07868195891265986,0.14749745985147417,0.024781538,True,-0.012041886848626462,0.012041886848626462,0.08871237,0.11349391,0.4842105263157895,newcombe_wilson_difference_in_proportions
XGBoost,6,191,90,101,5,7,0.06282722513089005,0.05555555555555555,0.06930693069306931,0.01375137513751376,-0.08956203533548107,0.11223930773447971,0.00015110627,True,-0.013600268864689652,0.013600268864689652,0.07608684,0.07623795,0.4712041884816754,newcombe_wilson_difference_in_proportions
XGBoost,7,191,88,103,5,10,0.07853403141361257,0.056818181818181816,0.0970873786407767,0.04026919682259488,-0.07260555649429298,0.14504321088868227,-0.023832642,True,-0.06410183836455274,0.06410183836455274,0.09527178,0.071439154,0.4607329842931937,newcombe_wilson_difference_in_proportions
XGBoost,8,191,77,114,14,16,0.15706806282722513,0.18181818181818182,0.14035087719298245,-0.041467304625199375,-0.194088764107165,0.1043632252832845,-0.066824116,True,-0.025356811187579098,0.025356811187579098,0.195746,0.12892188,0.4031413612565445,newcombe_wilson_difference_in_proportions
XGBoost,9,191,96,95,47,25,0.3769633507853403,0.4895833333333333,0.2631578947368421,-0.22642543859649122,-0.4029743826818368,-0.03226840152513438,-0.15235865,True,0.07406678743529738,0.07406678743529738,0.38923892,0.23688024,0.5026178010471204,newcombe_wilson_difference_in_proportions
XGBoost,10,190,102,88,64,19,0.4368421052631579,0.6274509803921569,0.2159090909090909,-0.4115418894830659,-0.5722419933766667,-0.21782487673596163,-0.38403785,True,0.027504037195773434,0.027504037195773434,0.5745298,0.190492,0.5368421052631579,newcombe_wilson_difference_in_proportions
