uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,191,0.4430037,0.46596858638743455,0.39790575916230364,0.17088193,0.6138856,0.4430037,84.61370939016342,101536.4512681961,47750,53786.451268196106,1.1264178276062011
2,191,0.20612152,0.34554973821989526,0.4293193717277487,0.21516277,0.4212843,0.20612152,39.36921016871929,47243.05220246315,47750,-506.94779753685,-0.010616707801818847
3,191,0.10512064,0.17801047120418848,0.5287958115183246,0.16665827,0.27177888,0.10512064,20.078041575849056,24093.649891018867,47750,-23656.350108981133,-0.49542094469070436
4,191,0.04442448,0.11518324607329843,0.5026178010471204,0.10202769,0.14645217,0.04442448,8.485076002776623,10182.091203331947,47750,-37567.90879666805,-0.7867624878883361
5,190,0.008921192,0.11578947368421053,0.4631578947368421,0.11155655,0.12047774,0.008921192,1.6950264852494001,2034.0317822992802,47500,-45465.96821770072,-0.9571782782673836
6,191,-0.012785139,0.10471204188481675,0.4973821989528796,0.09219402,0.07940889,-0.012785139,-2.4419614654034376,-2930.353758484125,47750,-50680.353758484125,-1.061368665099144
7,191,-0.03687748,0.10471204188481675,0.5078534031413613,0.1154934,0.078615926,-0.03687748,-7.0435985662043095,-8452.318279445171,47750,-56202.31827944517,-1.177011901140213
8,191,-0.07330364,0.15706806282722513,0.4083769633507853,0.20875949,0.13545586,-0.07330364,-14.000995218753815,-16801.194262504578,47750,-64551.19426250458,-1.3518574714660645
9,191,-0.15271656,0.29842931937172773,0.49214659685863876,0.34912014,0.19640356,-0.15271656,-29.168863371014595,-35002.636045217514,47750,-82752.63604521751,-1.7330394983291626
10,190,-0.3609299,0.45789473684210524,0.5368421052631579,0.53411686,0.17318697,-0.3609299,-68.57668220996857,-82292.01865196228,47500,-129792.01865196228,-2.732463550567627
