uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,191,0.45848596,0.5130890052356021,0.38219895287958117,0.18236448,0.6408504
2,191,0.22314082,0.29842931937172773,0.518324607329843,0.19856608,0.42170691
3,191,0.11164839,0.2670157068062827,0.43455497382198954,0.1907624,0.3024108
4,191,0.04717793,0.14659685863874344,0.5287958115183246,0.12371544,0.17089337
5,190,0.014844804,0.11578947368421053,0.4789473684210526,0.087538145,0.10238295
6,191,-0.005777287,0.06282722513089005,0.5130890052356021,0.075986914,0.07020963
7,191,-0.027387295,0.06806282722513089,0.46596858638743455,0.108617686,0.08123039
8,191,-0.061701354,0.14659685863874344,0.41361256544502617,0.1606768,0.09897546
9,191,-0.15275727,0.31413612565445026,0.4869109947643979,0.33899808,0.1862408
10,190,-0.36415064,0.4105263157894737,0.5421052631578948,0.5386346,0.17448391
