model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
Overlap-Weighted XGBoost T-Learner,1,191,73,118,19,79,0.5130890052356021,0.2602739726027397,0.6694915254237288,0.4092175528209891,0.2670583292174904,0.5261887635104763,0.45848596,True,0.04926840813939909,0.04926840813939909,0.18236448,0.6408504,0.38219895287958117,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,2,191,99,92,27,30,0.29842931937172773,0.2727272727272727,0.32608695652173914,0.05335968379446643,-0.07553870440270005,0.18103802727061125,0.22314082,False,0.1697811370663963,0.1697811370663963,0.19856608,0.42170691,0.518324607329843,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,3,191,83,108,16,35,0.2670157068062827,0.1927710843373494,0.32407407407407407,0.13130298973672466,0.004480157063964485,0.24798779725253423,0.11164839,True,-0.01965460152976589,0.01965460152976589,0.1907624,0.30241078,0.43455497382198954,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,4,191,101,90,15,13,0.14659685863874344,0.1485148514851485,0.14444444444444443,-0.004070407040704077,-0.10466264989461602,0.09974051287925663,0.04717793,True,0.051248336471904105,0.051248336471904105,0.12371544,0.17089337,0.5287958115183246,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,5,190,91,99,13,9,0.11578947368421053,0.14285714285714285,0.09090909090909091,-0.05194805194805194,-0.1481310996927582,0.040859817072065235,0.014844804,True,0.06679285601894189,0.06679285601894189,0.087538145,0.10238295,0.4789473684210526,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,6,191,98,93,6,6,0.06282722513089005,0.061224489795918366,0.06451612903225806,0.003291639236339697,-0.07120494406117259,0.07986678026423391,-0.005777287,True,-0.009068926067629227,0.009068926067629227,0.075986914,0.07020963,0.5130890052356021,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,7,191,89,102,7,6,0.06806282722513089,0.07865168539325842,0.058823529411764705,-0.01982815598149372,-0.10111632077779265,0.05533226962300457,-0.027387297,True,-0.007559140799450151,0.007559140799450151,0.10861767,0.08123038,0.46596858638743455,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,8,191,79,112,13,15,0.14659685863874344,0.16455696202531644,0.13392857142857142,-0.03062839059674502,-0.1401563911551147,0.06939071725577305,-0.06170135,True,-0.031072959317328924,0.031072959317328924,0.1606768,0.09897546,0.41361256544502617,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,9,191,93,98,37,23,0.31413612565445026,0.3978494623655914,0.23469387755102042,-0.16315558481457096,-0.28822446944410207,-0.031322635939279225,-0.15275727,True,0.010398312690280492,0.010398312690280492,0.33899814,0.1862408,0.4869109947643979,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,10,190,103,87,57,21,0.4105263157894737,0.5533980582524272,0.2413793103448276,-0.31201874790759954,-0.4327442494080972,-0.17353466346892626,-0.36415064,True,-0.05213189544109431,0.05213189544109431,0.5386346,0.17448393,0.5421052631578948,newcombe_wilson_difference_in_proportions
