targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.09958071278825996,190,3.6008531639680132,4321.023796761616
Uplift score,2,0.19916142557651992,380,7.161487936823682,8593.785524188419
Uplift score,3,0.29874213836477986,570,10.699350057765535,12839.220069318642
Uplift score,4,0.39832285115303984,760,14.216797998388062,17060.157598065674
Uplift score,5,0.4979035639412998,950,17.715677756127533,21258.81330735304
Uplift score,6,0.5974842767295597,1140,21.198093751159128,25437.712501390954
Uplift score,7,0.6970649895178197,1330,24.663797543625236,29596.557052350283
Uplift score,8,0.7966457023060797,1520,28.1086000181742,33730.32002180904
Uplift score,9,0.8962264150943396,1710,31.522891103044554,37827.469323653466
Uplift score,10,1.0,1908,35.0140679897787,42016.881587734446
Current risk score,1,0.09958071278825996,190,3.471873649254808,4166.248379105769
Current risk score,2,0.19916142557651992,380,6.9557051497717985,8346.846179726159
Current risk score,3,0.29874213836477986,570,10.432876111956002,12519.451334347203
Current risk score,4,0.39832285115303984,760,13.91004069475534,16692.04883370641
Current risk score,5,0.4979035639412998,950,17.39496861889383,20873.962342672596
Current risk score,6,0.5974842767295597,1140,20.89052889068782,25068.634668825383
Current risk score,7,0.6970649895178197,1330,24.38254385600067,29259.052627200803
Current risk score,8,0.7966457023060797,1520,27.884412112909047,33461.29453549086
Current risk score,9,0.8962264150943396,1710,31.375856799025037,37651.02815883004
Current risk score,10,1.0,1908,35.01406798977871,42016.88158773445
