decile,uplift_marginal_gross_savings,risk_marginal_gross_savings,marginal_advantage
1,4511.34228349494,4345.81397790461,165.5283055903301
2,4459.930293468147,4361.5413758296245,98.3889176385228
3,4430.474352111101,4352.492534157027,77.98181795407436
4,4404.077896350003,4352.5737473418885,51.50414900811484
5,4380.061235077592,4360.774615465285,19.286619612306822
6,4358.861849717319,4375.1384438471105,-16.276594129791192
7,4338.005263131701,4371.544695739736,-33.539432608034986
8,4311.094450605913,4384.632999801772,-73.53854919585865
9,4272.384069255153,4371.865817773971,-99.48174851881777
10,4366.897855642252,4556.751340993098,-189.8534853508463
