targeting_approach,decile,marginal_gross_savings,cumulative_gross_savings
Uplift score,1,4321.023796761616,4321.023796761616
Uplift score,2,4272.761727426803,8593.785524188419
Uplift score,3,4245.434545130223,12839.220069318642
Uplift score,4,4220.937528747032,17060.157598065674
Uplift score,5,4198.655709287366,21258.81330735304
Uplift score,6,4178.899194037913,25437.712501390954
Uplift score,7,4158.844550959329,29596.557052350283
Uplift score,8,4133.7629694587595,33730.32002180904
Uplift score,9,4097.1493018444235,37827.469323653466
Uplift score,10,4189.41226408098,42016.881587734446
Current risk score,1,4166.248379105769,4166.248379105769
Current risk score,2,4180.5978006203895,8346.846179726159
Current risk score,3,4172.605154621044,12519.451334347203
Current risk score,4,4172.597499359206,16692.04883370641
Current risk score,5,4181.913508966187,20873.962342672596
Current risk score,6,4194.672326152788,25068.634668825383
Current risk score,7,4190.417958375419,29259.052627200803
Current risk score,8,4202.241908290056,33461.29453549086
Current risk score,9,4189.733623339183,37651.02815883004
Current risk score,10,4365.853428904411,42016.88158773445
