uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,191,0.019785862302426592,0.19895287958115182,0.2094240837696335,0.1998712809038386,0.24722348361081273
2,191,0.01955988412893896,0.18324607329842932,0.3089005235602094,0.2032292402472744,0.23576518408719957
3,191,0.019430397460605663,0.2513089005235602,0.33507853403141363,0.22968882235187846,0.24344268060775318
4,191,0.019313986132208867,0.24607329842931938,0.4607329842931937,0.21960587232797865,0.23960834806733722
5,190,0.019208791296462416,0.11578947368421053,0.4631578947368421,0.19088076333738602,0.2163985530074712
6,191,0.01911564804847102,0.2356020942408377,0.46596858638743455,0.23523896871295522,0.260040055039805
7,191,0.019023513093679303,0.2513089005235602,0.518324607329843,0.2209361462504931,0.23981554574143737
8,191,0.018903616101376038,0.32460732984293195,0.6230366492146597,0.250235080532573,0.25308921445308047
9,191,0.01872853448916581,0.2774869109947644,0.5759162303664922,0.27016109782256414,0.3118209642483974
10,190,0.01837053808151567,0.2578947368421053,0.8052631578947368,0.2586409900328291,0.2764305271896683
