risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,114,335,0.3402985074626866,predicted-benefit tercile (top third)
1,Medium benefit,125,335,0.373134328358209,predicted-benefit tercile (middle third)
1,Low benefit,96,335,0.2865671641791045,predicted-benefit tercile (bottom third)
2,High benefit,219,651,0.33640552995391704,predicted-benefit tercile (top third)
2,Medium benefit,230,651,0.3533026113671275,predicted-benefit tercile (middle third)
2,Low benefit,202,651,0.3102918586789555,predicted-benefit tercile (bottom third)
3,High benefit,220,662,0.3323262839879154,predicted-benefit tercile (top third)
3,Medium benefit,199,662,0.30060422960725075,predicted-benefit tercile (middle third)
3,Low benefit,243,662,0.36706948640483383,predicted-benefit tercile (bottom third)
4,High benefit,58,188,0.30851063829787234,predicted-benefit tercile (top third)
4,Medium benefit,66,188,0.35106382978723405,predicted-benefit tercile (middle third)
4,Low benefit,64,188,0.3404255319148936,predicted-benefit tercile (bottom third)
5,High benefit,21,62,0.3387096774193548,predicted-benefit tercile (top third)
5,Medium benefit,12,62,0.1935483870967742,predicted-benefit tercile (middle third)
5,Low benefit,29,62,0.46774193548387094,predicted-benefit tercile (bottom third)
