targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.09958071278825996,190,33.752301434671395,40502.761721605675
Uplift score,2,0.19916142557651992,380,50.66716676330749,60800.60011596899
Uplift score,3,0.29874213836477986,570,62.279780965299146,74735.73715835897
Uplift score,4,0.39832285115303984,760,69.9223806558669,83906.85678704028
Uplift score,5,0.4979035639412998,950,74.09206165770658,88910.4739892479
Uplift score,6,0.5974842767295597,1140,75.26005757578392,90312.0690909407
Uplift score,7,0.6970649895178197,1330,72.9952722103642,87594.32665243704
Uplift score,8,0.7966457023060797,1520,67.21058955055145,80652.70746066174
Uplift score,9,0.8962264150943396,1710,56.36795461978855,67641.54554374625
Uplift score,10,1.0,1908,32.24615966197904,38695.39159437485
Current risk score,1,0.09958071278825996,190,8.034230997437035,9641.077196924442
Current risk score,2,0.19916142557651992,380,7.431119190978214,8917.343029173857
Current risk score,3,0.29874213836477986,570,10.67418576775407,12809.022921304884
Current risk score,4,0.39832285115303984,760,13.281316656450217,15937.57998774026
Current risk score,5,0.4979035639412998,950,16.33445454445657,19601.345453347883
Current risk score,6,0.5974842767295597,1140,22.72576850867963,27270.922210415556
Current risk score,7,0.6970649895178197,1330,24.790421053264645,29748.505263917574
Current risk score,8,0.7966457023060797,1520,27.316878643059905,32780.25437167189
Current risk score,9,0.8962264150943396,1710,29.776646207283502,35731.9754487402
Current risk score,10,1.0,1908,32.246159661979036,38695.39159437484
