targeting_approach_model,through_decile,targeting_band,additional_members,additional_ed_visits_avoided_model,additional_gross_savings_model,targeting_approach_current_risk,additional_ed_visits_avoided_current_risk,additional_gross_savings_current_risk,additional_ed_visits_avoided_advantage,additional_gross_savings_advantage
XGBoost benefit score,1,Top 0-10%,190,33.752301434671395,40502.761721605675,Current risk score,8.034230997437035,9641.077196924442,25.71807043723436,30861.684524681234
XGBoost benefit score,2,Top 10-20%,190,16.914865328636097,20297.838394363316,Current risk score,-0.6031118064588208,-723.7341677505847,17.517977135094917,21021.5725621139
XGBoost benefit score,3,Top 20-30%,190,11.612614201991654,13935.137042389979,Current risk score,3.2430665767758553,3891.6798921310274,8.369547625215798,10043.457150258952
XGBoost benefit score,4,Top 30-40%,190,7.6425996905677565,9171.119628681306,Current risk score,2.6071308886961475,3128.5570664353763,5.035468801871609,6042.56256224593
XGBoost benefit score,5,Top 40-50%,190,4.1696810018396775,5003.617202207621,Current risk score,3.0531378880063524,3663.765465607623,1.116543113833325,1339.8517365999978
XGBoost benefit score,6,Top 50-60%,190,1.167995918077338,1401.595101692801,Current risk score,6.391313964223059,7669.576757067673,-5.223318046145721,-6267.9816553748715
XGBoost benefit score,7,Top 60-70%,190,-2.264785365419712,-2717.7424385036575,Current risk score,2.064652544585016,2477.5830535020177,-4.329437910004728,-5195.325492005675
XGBoost benefit score,8,Top 70-80%,190,-5.784682659812759,-6941.619191775302,Current risk score,2.5264575897952604,3031.7491077543127,-8.31114024960802,-9973.368299529615
XGBoost benefit score,9,Top 80-90%,190,-10.842634930762898,-13011.161916915487,Current risk score,2.459767564223597,2951.721077068316,-13.302402494986495,-15962.882993983803
XGBoost benefit score,10,Top 90-100%,198,-24.121794957809506,-28946.1539493714,Current risk score,2.4695134546955337,2963.416145634641,-26.59130841250504,-31909.57009500604
