targeting_approach,through_decile,targeting_band,additional_members,additional_ed_visits_avoided,additional_gross_savings
Uplift score,1,Top 0-10%,190.0,33.752301434671395,40502.761721605675
Uplift score,2,Top 10-20%,190.0,16.914865328636097,20297.838394363316
Uplift score,3,Top 20-30%,190.0,11.612614201991654,13935.137042389979
Uplift score,4,Top 30-40%,190.0,7.6425996905677565,9171.119628681306
Uplift score,5,Top 40-50%,190.0,4.1696810018396775,5003.617202207621
Uplift score,6,Top 50-60%,190.0,1.167995918077338,1401.595101692801
Uplift score,7,Top 60-70%,190.0,-2.264785365419712,-2717.7424385036575
Uplift score,8,Top 70-80%,190.0,-5.784682659812759,-6941.619191775302
Uplift score,9,Top 80-90%,190.0,-10.842634930762898,-13011.161916915487
Uplift score,10,Top 90-100%,198.0,-24.121794957809506,-28946.1539493714
Current risk score,1,Top 0-10%,190.0,8.034230997437035,9641.077196924442
Current risk score,2,Top 10-20%,190.0,-0.6031118064588208,-723.7341677505847
Current risk score,3,Top 20-30%,190.0,3.2430665767758553,3891.6798921310274
Current risk score,4,Top 30-40%,190.0,2.6071308886961475,3128.5570664353763
Current risk score,5,Top 40-50%,190.0,3.0531378880063524,3663.765465607623
Current risk score,6,Top 50-60%,190.0,6.391313964223059,7669.576757067673
Current risk score,7,Top 60-70%,190.0,2.064652544585016,2477.5830535020177
Current risk score,8,Top 70-80%,190.0,2.5264575897952604,3031.7491077543127
Current risk score,9,Top 80-90%,190.0,2.459767564223597,2951.721077068316
Current risk score,10,Top 90-100%,198.0,2.4695134546955337,2963.416145634641
