model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
XGBoost X-Learner,1,191,92,99,23,36,0.3089005235602094,0.25,0.36363636363636365,0.11363636363636365,-0.01755832665623805,0.23858163569666352,0.17727912606926557,True,0.06364276243290193,0.06364276243290193,0.16108178,0.44110036,0.4816753926701571,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,2,191,93,98,16,27,0.225130890052356,0.17204301075268819,0.2755102040816326,0.10346719332894444,-0.01556955764744146,0.21815365146597615,0.08876871262937325,True,-0.014698480699571193,0.014698480699571193,0.1310372,0.2497133,0.4869109947643979,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,3,191,100,91,22,21,0.225130890052356,0.22,0.23076923076923078,0.010769230769230781,-0.10666350071885125,0.12989386863865632,0.06080122022646433,True,0.05003198945723355,0.05003198945723355,0.17316125,0.2611423,0.5235602094240838,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,4,191,89,102,12,17,0.1518324607329843,0.1348314606741573,0.16666666666666666,0.03183520599250936,-0.07315380199683155,0.13288494956898977,0.039881904349295685,True,0.008046698356786328,0.008046698356786328,0.16712266,0.21543965,0.46596858638743455,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,5,190,87,103,18,29,0.24736842105263157,0.20689655172413793,0.2815533980582524,0.07465684633411449,-0.04937924146321594,0.19255590792328733,0.021582252763494004,True,-0.053074593570620485,0.053074593570620485,0.1542835,0.18013844,0.45789473684210524,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,6,191,95,96,18,27,0.2356020942408377,0.18947368421052632,0.28125,0.09177631578947368,-0.028952526192752584,0.20917851263658566,0.0057566481366160445,True,-0.08601966765285764,0.08601966765285764,0.17862843,0.18944404,0.4973821989528796,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,7,191,94,97,16,12,0.14659685863874344,0.1702127659574468,0.12371134020618557,-0.04650142575126123,-0.14892732951097676,0.05524107840284473,-0.012425302216327379,True,0.034076123534933854,0.034076123534933854,0.17235066,0.1500709,0.49214659685863876,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,8,191,84,107,15,22,0.193717277486911,0.17857142857142858,0.205607476635514,0.02703604806408544,-0.08878932056852262,0.1363156706704831,-0.031227261661383836,True,-0.058263309725469274,0.058263309725469274,0.21703778,0.16257459,0.4397905759162304,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,9,191,82,109,31,27,0.3036649214659686,0.3780487804878049,0.24770642201834864,-0.13034235846945624,-0.260027183524701,0.0012933810713208205,-0.05840240330901602,True,0.07193995516044022,0.07193995516044022,0.30317193,0.17889917,0.4293193717277487,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,10,190,93,97,39,19,0.30526315789473685,0.41935483870967744,0.1958762886597938,-0.22347855004988362,-0.3449787407024935,-0.09258320453500127,-0.12372159689433553,True,0.0997569531555481,0.0997569531555481,0.4076576,0.20892663,0.48947368421052634,newcombe_wilson_difference_in_proportions
