uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,191,0.17727912606926557,0.3089005235602094,0.4816753926701571,0.16108178,0.44110036
2,191,0.08876871262937322,0.225130890052356,0.4869109947643979,0.13103719,0.2497133
3,191,0.06080122022646433,0.225130890052356,0.5235602094240838,0.17316125,0.2611423
4,191,0.039881904349295685,0.1518324607329843,0.46596858638743455,0.16712266,0.21543965
5,190,0.021582252763494,0.24736842105263157,0.45789473684210524,0.1542835,0.18013842
6,191,0.0057566481366160445,0.2356020942408377,0.4973821989528796,0.17862846,0.18944405
7,191,-0.012425302216327379,0.14659685863874344,0.49214659685863876,0.17235065,0.1500709
8,191,-0.03122726166138383,0.193717277486911,0.4397905759162304,0.21703778,0.16257459
9,191,-0.05840240330901601,0.3036649214659686,0.4293193717277487,0.30317193,0.17889917
10,190,-0.12372159689433553,0.30526315789473685,0.48947368421052634,0.4076576,0.20892665
