risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,70,335,0.208955223880597,predicted-benefit tercile (top third)
1,Medium benefit,130,335,0.3880597014925373,predicted-benefit tercile (middle third)
1,Low benefit,135,335,0.40298507462686567,predicted-benefit tercile (bottom third)
2,High benefit,193,651,0.2964669738863287,predicted-benefit tercile (top third)
2,Medium benefit,253,651,0.38863287250384027,predicted-benefit tercile (middle third)
2,Low benefit,205,651,0.31490015360983103,predicted-benefit tercile (bottom third)
3,High benefit,293,662,0.4425981873111782,predicted-benefit tercile (top third)
3,Medium benefit,184,662,0.27794561933534745,predicted-benefit tercile (middle third)
3,Low benefit,185,662,0.2794561933534743,predicted-benefit tercile (bottom third)
4,High benefit,59,188,0.31382978723404253,predicted-benefit tercile (top third)
4,Medium benefit,43,188,0.22872340425531915,predicted-benefit tercile (middle third)
4,Low benefit,86,188,0.4574468085106383,predicted-benefit tercile (bottom third)
5,High benefit,20,62,0.3225806451612903,predicted-benefit tercile (top third)
5,Medium benefit,21,62,0.3387096774193548,predicted-benefit tercile (middle third)
5,Low benefit,21,62,0.3387096774193548,predicted-benefit tercile (bottom third)
