uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,191,0.17727912606926557,0.3089005235602094,0.4816753926701571,0.16108178,0.44110036,0.17727912606926557,33.860313079229726,40632.37569507567,47750,-7117.624304924328,-0.1490601948675252
2,191,0.08876871262937322,0.225130890052356,0.4869109947643979,0.13103719,0.2497133,0.08876871262937322,16.954824112210286,20345.788934652344,47750,-27404.211065347656,-0.5739101793790085
3,191,0.06080122022646433,0.225130890052356,0.5235602094240838,0.17316125,0.2611423,0.06080122022646433,11.613033063254687,13935.639675905624,47750,-33814.36032409438,-0.7081541429129713
4,191,0.039881904349295685,0.1518324607329843,0.46596858638743455,0.16712266,0.21543965,0.039881904349295685,7.617443730715476,9140.932476858572,47750,-38609.06752314143,-0.8085668591233807
5,190,0.021582252763494,0.24736842105263157,0.45789473684210524,0.1542835,0.18013842,0.021582252763494,4.10062802506386,4920.753630076631,47500,-42579.24636992337,-0.8964051867352288
6,191,0.0057566481366160445,0.2356020942408377,0.4973821989528796,0.17862846,0.18944405,0.0057566481366160445,1.0995197940936645,1319.4237529123975,47750,-46430.5762470876,-0.972368088944243
7,191,-0.012425302216327379,0.14659685863874344,0.49214659685863876,0.17235065,0.1500709,-0.012425302216327379,-2.3732327233185293,-2847.879267982235,47750,-50597.879267982236,-1.0596414506383713
8,191,-0.03122726166138383,0.193717277486911,0.4397905759162304,0.21703778,0.16257459,-0.03122726166138383,-5.964406977324312,-7157.288372789174,47750,-54907.288372789175,-1.1498908559746424
9,191,-0.05840240330901601,0.3036649214659686,0.4293193717277487,0.30317193,0.17889917,-0.05840240330901601,-11.154859032022058,-13385.83083842647,47750,-61135.83083842647,-1.2803315358832768
10,190,-0.12372159689433553,0.30526315789473685,0.48947368421052634,0.4076576,0.20892665,-0.12372159689433553,-23.50710340992375,-28208.5240919085,47500,-75708.5240919085,-1.5938636650928106
