member_id,split,propensity_score,propensity_model,seed
UM0101040,train,0.2324268865396327,GLMNet elastic-net logistic,123
UM0101040,test,0.2324268865396327,GLMNet elastic-net logistic,123
UM0101618,test,0.44645870832612805,GLMNet elastic-net logistic,123
UM0102657,train,0.6786602785566629,GLMNet elastic-net logistic,123
UM0103187,train,0.6958223664011474,GLMNet elastic-net logistic,123
UM0103232,train,0.635467469204717,GLMNet elastic-net logistic,123
UM0103336,train,0.4687005584017936,GLMNet elastic-net logistic,123
UM0103336,test,0.4687005584017936,GLMNet elastic-net logistic,123
UM0103440,train,0.09385781243216557,GLMNet elastic-net logistic,123
UM0103440,train,0.09385781243216557,GLMNet elastic-net logistic,123
UM0103588,train,0.53654403677154,GLMNet elastic-net logistic,123
UM0103588,train,0.53654403677154,GLMNet elastic-net logistic,123
UM0103753,train,0.27246210349873423,GLMNet elastic-net logistic,123
UM0104027,test,0.6078778508219326,GLMNet elastic-net logistic,123
UM0104027,test,0.6078778508219326,GLMNet elastic-net logistic,123
UM0104418,test,0.25921853619165613,GLMNet elastic-net logistic,123
UM0104472,test,0.2748252203156506,GLMNet elastic-net logistic,123
UM0104585,train,0.4173519703431807,GLMNet elastic-net logistic,123
UM0104585,train,0.4173519703431807,GLMNet elastic-net logistic,123
UM0104760,train,0.4612615357313508,GLMNet elastic-net logistic,123
UM0104760,train,0.46553732085893884,GLMNet elastic-net logistic,123
UM0104801,test,0.34379078198070323,GLMNet elastic-net logistic,123
UM0104895,train,0.31620793320991447,GLMNet elastic-net logistic,123
UM0105560,train,0.4886196383628265,GLMNet elastic-net logistic,123
UM0105560,train,0.4886196383628265,GLMNet elastic-net logistic,123
UM0105572,test,0.1085728018426986,GLMNet elastic-net logistic,123
UM0105615,test,0.5980265971789408,GLMNet elastic-net logistic,123
UM0105925,train,0.4612448574914418,GLMNet elastic-net logistic,123
UM0105925,train,0.4655206216074942,GLMNet elastic-net logistic,123
UM0106242,train,0.4521899887783078,GLMNet elastic-net logistic,123
UM0106242,train,0.4521899887783078,GLMNet elastic-net logistic,123
UM0106549,train,0.43050591117366693,GLMNet elastic-net logistic,123
UM0106549,test,0.43050591117366693,GLMNet elastic-net logistic,123
UM0106705,train,0.95,GLMNet elastic-net logistic,123
UM0106705,train,0.95,GLMNet elastic-net logistic,123
UM0106861,test,0.12156388997145069,GLMNet elastic-net logistic,123
UM0106861,train,0.12156388997145069,GLMNet elastic-net logistic,123
UM0107224,train,0.468902029313607,GLMNet elastic-net logistic,123
UM0107224,train,0.468902029313607,GLMNet elastic-net logistic,123
UM0107910,train,0.41060073225790034,GLMNet elastic-net logistic,123
UM0107910,train,0.37913972120975625,GLMNet elastic-net logistic,123
UM0107910,train,0.37913972120975625,GLMNet elastic-net logistic,123
UM0108034,train,0.6538172156073508,GLMNet elastic-net logistic,123
UM0108109,test,0.2861872112876274,GLMNet elastic-net logistic,123
UM0108109,train,0.2861872112876274,GLMNet elastic-net logistic,123
UM0108290,train,0.26725098895644833,GLMNet elastic-net logistic,123
UM0108733,train,0.5863838131362433,GLMNet elastic-net logistic,123
UM0108789,train,0.5892984980607628,GLMNet elastic-net logistic,123
UM0108789,test,0.5892984980607628,GLMNet elastic-net logistic,123
UM0108792,train,0.43369578257362157,GLMNet elastic-net logistic,123
UM0108792,train,0.43369578257362157,GLMNet elastic-net logistic,123
UM0108792,test,0.6346603830338252,GLMNet elastic-net logistic,123
UM0108996,train,0.2542632277999691,GLMNet elastic-net logistic,123
UM0108996,train,0.251016550214974,GLMNet elastic-net logistic,123
UM0109568,test,0.4135587006121712,GLMNet elastic-net logistic,123
UM0109569,test,0.05994378663359723,GLMNet elastic-net logistic,123
UM0109885,train,0.21928363121135722,GLMNet elastic-net logistic,123
UM0109885,train,0.2222416582495809,GLMNet elastic-net logistic,123
UM0110295,train,0.9386428466064107,GLMNet elastic-net logistic,123
UM0110502,train,0.5704261205390687,GLMNet elastic-net logistic,123
