variable,category,n,missing_count,missing_pct,unique_values,mode,mode_count,mode_pct,top_values
anxiety_flag,Clinical Conditions,1268,0,0.0,2,0,782,0.6167192429022083,0 (782); 1 (486)
asthma_flag,Clinical Conditions,1268,0,0.0,2,0,1040,0.8201892744479495,0 (1040); 1 (228)
bh_flag,Clinical Conditions,1268,0,0.0,2,0,672,0.5299684542586751,0 (672); 1 (596)
cad_flag,Clinical Conditions,1268,0,0.0,2,0,1175,0.9266561514195584,0 (1175); 1 (93)
chf_flag,Clinical Conditions,1268,0,0.0,2,0,1156,0.9116719242902208,0 (1156); 1 (112)
ckd_flag,Clinical Conditions,1268,0,0.0,2,0,1157,0.9124605678233438,0 (1157); 1 (111)
copd_flag,Clinical Conditions,1268,0,0.0,2,0,1138,0.8974763406940063,0 (1138); 1 (130)
depression_flag,Clinical Conditions,1268,0,0.0,2,0,916,0.722397476340694,0 (916); 1 (352)
diabetes_flag,Clinical Conditions,1268,0,0.0,2,0,1064,0.8391167192429022,0 (1064); 1 (204)
htn_flag,Clinical Conditions,1268,0,0.0,2,0,963,0.7594637223974764,0 (963); 1 (305)
hyperlipidemia_flag,Clinical Conditions,1268,0,0.0,2,0,1093,0.86198738170347,0 (1093); 1 (175)
substance_use_flag,Clinical Conditions,1268,0,0.0,2,0,998,0.7870662460567823,0 (998); 1 (270)
client_contract,Demographics,1268,0,0.0,1,OHPCC,1268,1.0,OHPCC (1268)
county,Demographics,1268,0,0.0,58,MULTNOMAH,193,0.15220820189274448,MULTNOMAH (193); MARION (149); LANE (133); WASHINGTON (92); CLACKAMAS (78)
dual_elg,Demographics,1268,0,0.0,2,0,993,0.7831230283911672,0 (993); 1 (275)
gender,Demographics,1268,0,0.0,2,F,932,0.7350157728706624,F (932); M (336)
plan_type,Demographics,1268,0,0.0,1,Medicaid,1268,1.0,Medicaid (1268)
program,Demographics,1268,0,0.0,1,CaseManagement,1268,1.0,CaseManagement (1268)
state,Demographics,1268,0,0.0,10,OR,1242,0.9794952681388013,OR (1242); WA (10); CA (8); TX (2); HI (1)
opioid_flag,Pharmacy,1268,0,0.0,2,0,1137,0.8966876971608833,0 (1137); 1 (131)
polypharmacy_flag,Pharmacy,1268,0,0.0,2,0,1176,0.9274447949526814,0 (1176); 1 (92)
risk_tier,Risk Scores,1268,0,0.0,6,4,456,0.35962145110410093,4 (456); Missing (285); 3 (235); 2 (150); 1 (98)
financial_strain_flag,SDOH,1268,0,0.0,2,0,1127,0.888801261829653,0 (1127); 1 (141)
food_insecurity_flag,SDOH,1268,0,0.0,2,0,1139,0.8982649842271293,0 (1139); 1 (129)
healthliteracy_challenges_flag,SDOH,1268,0,0.0,2,0,1103,0.8698738170347003,0 (1103); 1 (165)
housing_instability_flag,SDOH,1268,0,0.0,2,0,1144,0.9022082018927445,0 (1144); 1 (124)
transportation_barrier_flag,SDOH,1268,0,0.0,2,0,1160,0.9148264984227129,0 (1160); 1 (108)
