variable,category,n,missing_count,missing_pct,mean,median,std,min,p25,p75,max
age,Demographics,1268,0,0.0,40.36153831230284,35.371663,20.017013348079548,2.800821,25.9958925,54.940451,103.405886
rx_count_last_6m,Pharmacy,1268,0,0.0,8.727917981072554,1.0,22.048972036800567,0.0,0.0,9.0,373.0
total_cost_last_6m,Pharmacy,1268,0,0.0,13921.103438485805,923.905,45158.46509899908,0.0,0.0,5698.629999999999,534364.43
current_risk_score,Risk Scores,946,322,0.2539432176656151,4.836974606216701,2.841429413,5.483373455357419,0.167554222,1.537589498,6.223957875,60.65373453
percolator_score,Risk Scores,946,322,0.2539432176656151,1764.7526662579282,1845.78024,713.3854870943879,122.54068,1162.05351,2208.70272,4535.88616
admits_last_6m,Utilization,1268,0,0.0,0.3249211356466877,0.0,0.7559981104121727,0.0,0.0,0.0,8.0
ed_visits_last_30d,Utilization,1268,0,0.0,0.39589905362776023,0.0,0.7013678568501865,0.0,0.0,1.0,8.0
ed_visits_last_6m,Utilization,1268,0,0.0,0.944794952681388,0.0,1.82331987873212,0.0,0.0,1.0,39.0
observation_stays_last_6m,Utilization,1268,0,0.0,0.03391167192429022,0.0,0.18538085140830438,0.0,0.0,0.0,2.0
op_visits_last_6m,Utilization,1268,0,0.0,2.7413249211356465,1.0,3.913342543298984,0.0,0.0,4.0,39.0
