variable,category,visual_type,output_file
age,Demographics,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\age_histogram.png
rx_count_last_6m,Pharmacy,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\rx_count_last_6m_histogram.png
total_cost_last_6m,Pharmacy,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\total_cost_last_6m_histogram.png
current_risk_score,Risk Scores,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\current_risk_score_histogram.png
percolator_score,Risk Scores,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\percolator_score_histogram.png
admits_last_6m,Utilization,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\admits_last_6m_histogram.png
ed_visits_last_30d,Utilization,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\ed_visits_last_30d_histogram.png
ed_visits_last_6m,Utilization,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\ed_visits_last_6m_histogram.png
observation_stays_last_6m,Utilization,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\observation_stays_last_6m_histogram.png
op_visits_last_6m,Utilization,numeric_histogram,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Numeric\op_visits_last_6m_histogram.png
anxiety_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\anxiety_flag_bar_chart.png
asthma_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\asthma_flag_bar_chart.png
bh_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\bh_flag_bar_chart.png
cad_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\cad_flag_bar_chart.png
chf_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\chf_flag_bar_chart.png
ckd_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\ckd_flag_bar_chart.png
copd_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\copd_flag_bar_chart.png
depression_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\depression_flag_bar_chart.png
diabetes_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\diabetes_flag_bar_chart.png
