feature,mean_abs_benefit_contribution,mean_signed_benefit_contribution,pct_positive_benefit_contribution,control_coefficient,treated_coefficient,coefficient_difference,importance_type
asthma_flag,0.5356728381640656,0.011545370869887175,0.824607329842932,-0.501437522352958,0.20267070519446362,-0.7041082275474216,glmnet_standardized_logit_contribution_difference
htn_flag,0.45181187971536346,-0.03244954368635076,0.7408376963350786,-0.27732638497253564,0.23690336764604775,-0.5142297526185834,glmnet_standardized_logit_contribution_difference
risk_tier_Missing,0.44522937064116114,-0.02842215159260957,0.2094240837696335,0.17687479854400043,-0.36911180528403653,0.545986603828037,glmnet_standardized_logit_contribution_difference
ed_visits_last_6m,0.40949214867449174,0.023949655484402605,0.47643979057591623,1.2126944333460303,0.45306240920542656,0.7596320241406038,glmnet_standardized_logit_contribution_difference
anxiety_flag,0.3916890404513569,-0.01062001282418575,0.3743455497382199,0.5189664343408172,0.11443886328993551,0.4045275710508817,glmnet_standardized_logit_contribution_difference
current_risk_score,0.34089571723033146,0.026280296463645887,0.29581151832460734,0.44430094129563985,-0.0710328711593742,0.5153338124550141,glmnet_standardized_logit_contribution_difference
polypharmacy_flag,0.32693368485162044,-0.03503073319585306,0.06282722513089005,0.16046361317851124,-0.5093260125754849,0.6697896257539961,glmnet_standardized_logit_contribution_difference
substance_use_flag,0.30047109641087644,-0.015458421031692645,0.774869109947644,-0.12242381920672901,0.23680028923746294,-0.35922410844419195,glmnet_standardized_logit_contribution_difference
copd_flag,0.2959733948233324,0.028239697159654496,0.11518324607329843,0.3545609617000307,-0.10687928502200394,0.46144024672203465,glmnet_standardized_logit_contribution_difference
admits_last_6m,0.2797985784441011,-0.009966346638415504,0.774869109947644,-0.49017301931211477,-0.09205157943055423,-0.39812143988156057,glmnet_standardized_logit_contribution_difference
county_COOS,0.24227156476460698,-0.09975887960895584,0.9424083769633508,-0.26380395273032914,0.21003408402837012,-0.4738380367586993,glmnet_standardized_logit_contribution_difference
county_LINN,0.2160407715762169,0.004354775751710069,0.9424083769633508,-0.4538024978586239,0.009770625166490495,-0.46357312302511444,glmnet_standardized_logit_contribution_difference
