feature,mean_abs_model_contribution,coefficient,model,importance_type
ed_visits_last_30d,0.3662048412881901,0.4836189679385111,Treated Model,standardized_logit_contribution
percolator_score,0.32360328706314856,0.4474520925271829,Treated Model,standardized_logit_contribution
risk_tier_Missing,0.3009953277435987,-0.36911180528403653,Treated Model,standardized_logit_contribution
polypharmacy_flag,0.24860915081304186,-0.5093260125754849,Treated Model,standardized_logit_contribution
ed_visits_last_6m,0.24423075059146293,0.45306240920542656,Treated Model,standardized_logit_contribution
opioid_flag,0.24327508555496186,0.40622408812784494,Treated Model,standardized_logit_contribution
htn_flag,0.20814773027427616,0.23690336764604775,Treated Model,standardized_logit_contribution
substance_use_flag,0.19807034345704852,0.23680028923746294,Treated Model,standardized_logit_contribution
transportation_barrier_flag,0.19702223427722798,-0.3124486772159905,Treated Model,standardized_logit_contribution
healthliteracy_challenges_flag,0.17887871841304254,-0.24032348141941726,Treated Model,standardized_logit_contribution
risk_tier_3,0.16761620471966013,0.22012180773163034,Treated Model,standardized_logit_contribution
asthma_flag,0.15418821655072779,0.20267070519446362,Treated Model,standardized_logit_contribution
age,0.13600418784890908,-0.1666990086764286,Treated Model,standardized_logit_contribution
food_insecurity_flag,0.13445544806147272,0.240026449796342,Treated Model,standardized_logit_contribution
risk_tier_4,0.13335519840872792,0.13636794267293778,Treated Model,standardized_logit_contribution
chf_flag,0.13094467297760104,-0.19714945942358997,Treated Model,standardized_logit_contribution
rx_count_last_6m,0.12758205538663794,0.2984618162016598,Treated Model,standardized_logit_contribution
depression_flag,0.1254466608209617,-0.13926221489385432,Treated Model,standardized_logit_contribution
anxiety_flag,0.11080690603098794,0.11443886328993551,Treated Model,standardized_logit_contribution
county_COOS,0.10738961890762554,0.21003408402837012,Treated Model,standardized_logit_contribution
ckd_flag,0.10283627065382199,0.18548864248748223,Treated Model,standardized_logit_contribution
bh_flag,0.09597312324576733,0.0961896432396869,Treated Model,standardized_logit_contribution
gender_F,0.09120840301970103,0.10591967397623106,Treated Model,standardized_logit_contribution
gender_M,0.09120840301970103,-0.10591967397623106,Treated Model,standardized_logit_contribution
county_MULTNOMAH,0.08433831234467287,-0.12081230167911099,Treated Model,standardized_logit_contribution
financial_strain_flag,0.07134806674131641,0.11053814411542874,Treated Model,standardized_logit_contribution
copd_flag,0.0685536752569149,-0.10687928502200394,Treated Model,standardized_logit_contribution
dual_elg,0.06801647813653058,-0.07839114053613472,Treated Model,standardized_logit_contribution
cad_flag,0.06725726642415535,0.1068431009996269,Treated Model,standardized_logit_contribution
county_CLACKAMAS,0.06618908656126622,0.12575102787476403,Treated Model,standardized_logit_contribution
admits_last_6m,0.06469357961697718,-0.09205157943055423,Treated Model,standardized_logit_contribution
county_LINCOLN,0.054199770651951897,-0.21740458491920867,Treated Model,standardized_logit_contribution
current_risk_score,0.046988575124630345,-0.0710328711593742,Treated Model,standardized_logit_contribution
county_LANE,0.046675368558889783,0.07875240458402546,Treated Model,standardized_logit_contribution
observation_stays_last_6m,0.042363763427443114,-0.11651162747271784,Treated Model,standardized_logit_contribution
county_CLATSOP,0.04070830921051527,-0.15154838308984575,Treated Model,standardized_logit_contribution
risk_tier_5,0.03855851711900412,0.11023797254749984,Treated Model,standardized_logit_contribution
risk_tier_1,0.03233559607710803,-0.060096415022889704,Treated Model,standardized_logit_contribution
county_TILLAMOOK,0.0319910927070769,0.10920444557513426,Treated Model,standardized_logit_contribution
county_WASCO,0.03091838797121756,-0.08200408162799144,Treated Model,standardized_logit_contribution
county_YAMHILL,0.0295654617552374,0.08473703134297282,Treated Model,standardized_logit_contribution
county_JEFFERSON,0.02884879079320801,0.2799577634387409,Treated Model,standardized_logit_contribution
county_JOSEPHINE,0.027883517872897456,-0.07986624607995316,Treated Model,standardized_logit_contribution
county_BAKER,0.027660225980731236,0.3671628023778579,Treated Model,standardized_logit_contribution
county_UNION,0.02500725732964393,-0.1731346695683576,Treated Model,standardized_logit_contribution
county_POLK,0.024448938267751394,0.07868356341942277,Treated Model,standardized_logit_contribution
county_MARION,0.02443637215935514,-0.03790076736511623,Treated Model,standardized_logit_contribution
county_KLAMATH,0.022969266420978705,-0.0587566733097655,Treated Model,standardized_logit_contribution
state_WA,0.022468515185730165,-0.1272698469302476,Treated Model,standardized_logit_contribution
state_OR,0.021509901827524006,0.08504038462239769,Treated Model,standardized_logit_contribution
county_BENTON,0.020019515152500885,0.06887158739938175,Treated Model,standardized_logit_contribution
county_HOOD_RIVER,0.019713283767642614,0.17695395187641275,Treated Model,standardized_logit_contribution
county_DESCHUTES,0.018194100500593422,-0.07967632429565824,Treated Model,standardized_logit_contribution
county_CURRY,0.01487518702252683,0.08405072790259407,Treated Model,standardized_logit_contribution
county_CROOK,0.013810759275873519,0.0954205813547651,Treated Model,standardized_logit_contribution
county_COLUMBIA,0.013219910494444872,0.04897011016183033,Treated Model,standardized_logit_contribution
county_JACKSON,0.012181323948008976,-0.030389617046854667,Treated Model,standardized_logit_contribution
county_KLICKITAT,0.011490836837515504,-0.19713847034754878,Treated Model,standardized_logit_contribution
county_GRANT,0.010900169105483668,-0.22916293209295033,Treated Model,standardized_logit_contribution
county_DOUGLAS,0.009842239758148835,0.025953038262971847,Treated Model,standardized_logit_contribution
risk_tier_2,0.008570465387675927,-0.013292725940144606,Treated Model,standardized_logit_contribution
diabetes_flag,0.007087438390733959,0.009227724400937441,Treated Model,standardized_logit_contribution
housing_instability_flag,0.006463736625002415,-0.011057175202172292,Treated Model,standardized_logit_contribution
county_HARNEY,0.006405889099234968,-0.05750170315370118,Treated Model,standardized_logit_contribution
county_LINN,0.004553442153798575,0.009770625166490495,Treated Model,standardized_logit_contribution
county_LAKE,0.0037396643684989924,-0.03649280855641929,Treated Model,standardized_logit_contribution
county_LASSEN,0.002684551881284292,0.07986259851098461,Treated Model,standardized_logit_contribution
total_cost_last_6m,0.002593634534026704,-0.005125408817661244,Treated Model,standardized_logit_contribution
hyperlipidemia_flag,0.00252787703969562,-0.003365065249820487,Treated Model,standardized_logit_contribution
county_MUSSELSHELL,0.0015565304775558696,-0.0463051466674156,Treated Model,standardized_logit_contribution
state_MT,0.0015565304775558696,-0.0463051466674156,Treated Model,standardized_logit_contribution
county_RIVERSIDE,0.00047107268194750926,-0.014013917454956663,Treated Model,standardized_logit_contribution
county_SAN_DIEGO,0.00046212084677092313,-0.01374760976180745,Treated Model,standardized_logit_contribution
county_WALLOWA,0.00030993718370383143,-0.00651605613590614,Treated Model,standardized_logit_contribution
county_HAYS,0.00026464983625077267,-0.00787305463002711,Treated Model,standardized_logit_contribution
county_FLAGLER,0.00012580767623793544,-0.0037426462148250714,Treated Model,standardized_logit_contribution
state_FL,0.00012580767623793544,-0.0037426462148250714,Treated Model,standardized_logit_contribution
county_CLARK,0.0,0.0,Treated Model,standardized_logit_contribution
state_Unseen,0.0,0.0,Treated Model,standardized_logit_contribution
state_ID,0.0,0.0,Treated Model,standardized_logit_contribution
county_DEL_NORTE,0.0,0.0,Treated Model,standardized_logit_contribution
state_VA,0.0,0.0,Treated Model,standardized_logit_contribution
state_UT,0.0,0.0,Treated Model,standardized_logit_contribution
state_TX,0.0,0.0,Treated Model,standardized_logit_contribution
gender_Unseen,0.0,0.0,Treated Model,standardized_logit_contribution
op_visits_last_6m,0.0,0.0,Treated Model,standardized_logit_contribution
county_ADA,0.0,0.0,Treated Model,standardized_logit_contribution
county_GILLIAM,0.0,0.0,Treated Model,standardized_logit_contribution
state_CA,0.0,0.0,Treated Model,standardized_logit_contribution
county_Unseen,0.0,0.0,Treated Model,standardized_logit_contribution
county_MALHEUR,0.0,0.0,Treated Model,standardized_logit_contribution
county_WHEELER,0.0,0.0,Treated Model,standardized_logit_contribution
county_WASHINGTON,0.0,0.0,Treated Model,standardized_logit_contribution
county_GRAY,0.0,0.0,Treated Model,standardized_logit_contribution
county_GRAYS_HARBOR,0.0,0.0,Treated Model,standardized_logit_contribution
county_UMATILLA,0.0,0.0,Treated Model,standardized_logit_contribution
county_SUTTER,0.0,0.0,Treated Model,standardized_logit_contribution
county_SALT_LAKE,0.0,0.0,Treated Model,standardized_logit_contribution
county_SACRAMENTO,0.0,0.0,Treated Model,standardized_logit_contribution
county_HENRICO,0.0,0.0,Treated Model,standardized_logit_contribution
county_MORROW,0.0,0.0,Treated Model,standardized_logit_contribution
risk_tier_Unseen,0.0,0.0,Treated Model,standardized_logit_contribution
ed_visits_last_6m,0.6537228992659548,1.2126944333460303,Control Model,standardized_logit_contribution
anxiety_flag,0.5024959464823449,0.5189664343408172,Control Model,standardized_logit_contribution
percolator_score,0.4777396350028311,0.6605791965378731,Control Model,standardized_logit_contribution
asthma_flag,0.3814846216133379,-0.501437522352958,Control Model,standardized_logit_contribution
admits_last_6m,0.3444921580610782,-0.49017301931211477,Control Model,standardized_logit_contribution
current_risk_score,0.29390714210570107,0.44430094129563985,Control Model,standardized_logit_contribution
htn_flag,0.24366414944108739,-0.27732638497253564,Control Model,standardized_logit_contribution
copd_flag,0.2274197195664175,0.3545609617000307,Control Model,standardized_logit_contribution
county_LINN,0.21148732942241832,-0.4538024978586239,Control Model,standardized_logit_contribution
county_KLAMATH,0.1713765754218164,0.43839090332502656,Control Model,standardized_logit_contribution
depression_flag,0.16275496227476083,-0.1806793132875606,Control Model,standardized_logit_contribution
diabetes_flag,0.1602079434783742,0.2085880211942561,Control Model,standardized_logit_contribution
ed_visits_last_30d,0.15904478984109138,0.21003839503698707,Control Model,standardized_logit_contribution
healthliteracy_challenges_flag,0.15066180490315617,-0.2024140702285998,Control Model,standardized_logit_contribution
risk_tier_Missing,0.1442340428975624,0.17687479854400043,Control Model,standardized_logit_contribution
county_COOS,0.13488194585698143,-0.26380395273032914,Control Model,standardized_logit_contribution
cad_flag,0.12825256831122062,0.20373861202030538,Control Model,standardized_logit_contribution
county_POLK,0.12423508361267416,-0.39982345954257187,Control Model,standardized_logit_contribution
gender_F,0.12118889510725046,-0.14073580760455803,Control Model,standardized_logit_contribution
gender_M,0.12118889510725046,0.14073580760455803,Control Model,standardized_logit_contribution
county_UMATILLA,0.12109423704738484,0.4185258652010684,Control Model,standardized_logit_contribution
county_YAMHILL,0.11519372536492109,0.33015463778548865,Control Model,standardized_logit_contribution
bh_flag,0.11311546347561045,-0.11337065741570167,Control Model,standardized_logit_contribution
opioid_flag,0.11233452069475035,0.18757772967340658,Control Model,standardized_logit_contribution
risk_tier_2,0.11159742120709353,-0.1730867425082785,Control Model,standardized_logit_contribution
county_JOSEPHINE,0.10706344488247536,0.3066598509602887,Control Model,standardized_logit_contribution
substance_use_flag,0.10240075295382788,-0.12242381920672901,Control Model,standardized_logit_contribution
polypharmacy_flag,0.07832453403857864,0.16046361317851124,Control Model,standardized_logit_contribution
county_MARION,0.07596997907001185,-0.117829294982437,Control Model,standardized_logit_contribution
hyperlipidemia_flag,0.07149382131363306,-0.0951713116981157,Control Model,standardized_logit_contribution
chf_flag,0.06552819735976038,0.09865883348067875,Control Model,standardized_logit_contribution
county_DOUGLAS,0.06480981380577996,0.17089723669095494,Control Model,standardized_logit_contribution
age,0.05539855802474896,-0.06790147311558198,Control Model,standardized_logit_contribution
financial_strain_flag,0.05492947894318766,0.08510115181707385,Control Model,standardized_logit_contribution
county_TILLAMOOK,0.05333773282100591,0.18207310373190458,Control Model,standardized_logit_contribution
county_COLUMBIA,0.051561466120256035,-0.19099756212989763,Control Model,standardized_logit_contribution
county_BENTON,0.048409917211187745,-0.1665408886683578,Control Model,standardized_logit_contribution
risk_tier_3,0.046754982912833774,0.06140093302105,Control Model,standardized_logit_contribution
rx_count_last_6m,0.04565378963946825,-0.10680117145777929,Control Model,standardized_logit_contribution
county_LINCOLN,0.042267688003549526,-0.16954295295667215,Control Model,standardized_logit_contribution
housing_instability_flag,0.035809637147777046,0.06125766794667937,Control Model,standardized_logit_contribution
food_insecurity_flag,0.03428198089976052,-0.06119932130673824,Control Model,standardized_logit_contribution
risk_tier_5,0.033012667190462884,-0.09438250667758019,Control Model,standardized_logit_contribution
county_MORROW,0.03186939474990535,-0.16844974347912822,Control Model,standardized_logit_contribution
county_UNION,0.02923732981613764,0.20242105601790736,Control Model,standardized_logit_contribution
county_JACKSON,0.02113864893698168,0.05273609410804427,Control Model,standardized_logit_contribution
dual_elg,0.021050237364142344,-0.02426106380014412,Control Model,standardized_logit_contribution
county_KLICKITAT,0.01863721533458575,0.3197427806652691,Control Model,standardized_logit_contribution
county_LAKE,0.016834790164104458,0.1642791208005489,Control Model,standardized_logit_contribution
transportation_barrier_flag,0.014945152542539284,0.023700843510570793,Control Model,standardized_logit_contribution
county_CLACKAMAS,0.014835659124717265,0.02818590618267522,Control Model,standardized_logit_contribution
county_BAKER,0.014560093817855339,-0.19327119209989063,Control Model,standardized_logit_contribution
observation_stays_last_6m,0.014264158643302473,0.03923023366199818,Control Model,standardized_logit_contribution
county_WASCO,0.011329982562072754,-0.030050234692987635,Control Model,standardized_logit_contribution
county_WALLOWA,0.010261655818660608,0.21573895898091242,Control Model,standardized_logit_contribution
county_LANE,0.009793734870806658,0.01652435095314414,Control Model,standardized_logit_contribution
total_cost_last_6m,0.009264175281697285,0.018307392600703905,Control Model,standardized_logit_contribution
county_CROOK,0.007339932902561402,0.05071268354455326,Control Model,standardized_logit_contribution
ckd_flag,0.006244983523714362,0.011264250529561752,Control Model,standardized_logit_contribution
county_CURRY,0.006215011094158463,0.03511728663280907,Control Model,standardized_logit_contribution
county_MALHEUR,0.005792987115320213,0.0489520238451893,Control Model,standardized_logit_contribution
county_GILLIAM,0.00570792870319188,0.12000232887606396,Control Model,standardized_logit_contribution
county_WHEELER,0.005613907148041085,-0.050392571172930785,Control Model,standardized_logit_contribution
risk_tier_1,0.005454897429188411,-0.01013804659824659,Control Model,standardized_logit_contribution
county_CLARK,0.005116604823346228,-0.10757045623164449,Control Model,standardized_logit_contribution
county_SUTTER,0.0044482095037276315,-0.13232956016443093,Control Model,standardized_logit_contribution
county_GRAYS_HARBOR,0.0034647297793883214,-0.10307207145051232,Control Model,standardized_logit_contribution
county_DESCHUTES,0.003429353423353925,0.015017960106060817,Control Model,standardized_logit_contribution
county_JEFFERSON,0.0028073762548838873,-0.027243664494712903,Control Model,standardized_logit_contribution
