risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,6,30,0.2,predicted-benefit tercile (top third)
1,Medium benefit,22,30,0.7333333333333333,predicted-benefit tercile (middle third)
1,Low benefit,2,30,0.06666666666666667,predicted-benefit tercile (bottom third)
2,High benefit,2,45,0.044444444444444446,predicted-benefit tercile (top third)
2,Medium benefit,23,45,0.5111111111111111,predicted-benefit tercile (middle third)
2,Low benefit,20,45,0.4444444444444444,predicted-benefit tercile (bottom third)
3,High benefit,12,67,0.1791044776119403,predicted-benefit tercile (top third)
3,Medium benefit,21,67,0.31343283582089554,predicted-benefit tercile (middle third)
3,Low benefit,34,67,0.5074626865671642,predicted-benefit tercile (bottom third)
4,High benefit,67,148,0.4527027027027027,predicted-benefit tercile (top third)
4,Medium benefit,25,148,0.16891891891891891,predicted-benefit tercile (middle third)
4,Low benefit,56,148,0.3783783783783784,predicted-benefit tercile (bottom third)
5,High benefit,5,12,0.4166666666666667,predicted-benefit tercile (top third)
5,Medium benefit,2,12,0.16666666666666666,predicted-benefit tercile (middle third)
5,Low benefit,5,12,0.4166666666666667,predicted-benefit tercile (bottom third)
