model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
GLMNET,1,0.10209424083769633,39,24,15,5,7,0.5836761877309186,0.2583333333333333,-0.035494963443480854,0.5178121545224708,False
GLMNET,2,0.20157068062827224,77,53,24,10,12,0.44374605960525026,0.3113207547169811,0.08750074383933804,0.5146780684151606,True
GLMNET,3,0.3010471204188482,115,79,36,17,17,0.35154569899750726,0.25703234880450065,0.07329973238644721,0.43222331506122436,True
GLMNET,4,0.4005235602094241,153,106,47,21,20,0.2852272196309632,0.2274187073464472,0.07130493627481449,0.3831545101933487,True
GLMNET,5,0.5,191,138,53,28,20,0.23314921448700962,0.17445993984140007,0.03479779964178906,0.3212471320324918,True
GLMNET,6,0.6020942408376964,230,165,65,31,21,0.19139396050242544,0.13519813519813523,0.014268820282121744,0.2667962230620328,True
GLMNET,7,0.7015706806282722,268,192,76,34,22,0.15920796424574574,0.11239035087719298,0.004241691946709675,0.2323213887340671,True
GLMNET,8,0.8010471204188482,306,210,96,36,26,0.1307280672237656,0.09940476190476188,0.002294488901480929,0.20579889138731805,True
GLMNET,9,0.900523560209424,344,241,103,43,27,0.0998908352193797,0.08371268581557426,-0.008505573034940275,0.1856871672228313,True
GLMNET,10,1.0,382,266,116,50,32,0.043720713497411565,0.08789214415348717,-0.001441320675305946,0.18514117843559696,True
