uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,39,0.5836761877309184,0.3076923076923077,0.6153846153846154,0.1689715639359921,0.7526477516669104
2,38,0.3001335596868014,0.2631578947368421,0.7631578947368421,0.20334826732362477,0.5034818270104262
3,38,0.16471865250287013,0.3157894736842105,0.6842105263157895,0.22476434791463393,0.38948300041750405
4,38,0.08452655839010623,0.18421052631578946,0.7105263157894737,0.11536943635204593,0.19989599474215217
5,38,0.02346672009161757,0.18421052631578946,0.8421052631578947,0.11694726666960686,0.14041398676122444
6,39,-0.013099719268230494,0.10256410256410256,0.6923076923076923,0.07975533417898449,0.066655614910754
7,38,-0.03560201309731568,0.10526315789473684,0.7105263157894737,0.08438057967130082,0.04877856657398513
8,38,-0.07013015387862072,0.15789473684210525,0.47368421052631576,0.18108748627398466,0.11095733239536396
9,38,-0.1484300330264646,0.21052631578947367,0.8157894736842105,0.27143994979944663,0.12300991677298208
10,38,-0.46476670419619476,0.3157894736842105,0.6578947368421053,0.6418771226777832,0.17711041848158846
