model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
GLMNET,1,39,24,15,5,7,0.3076923076923077,0.20833333333333334,0.4666666666666667,0.2583333333333333,-0.035494963443480854,0.5178121545224708,0.5836761877309191,False,0.3253428543975858,0.3253428543975858,0.16897156393599205,0.7526477516669112,0.6153846153846154,newcombe_wilson_difference_in_proportions
GLMNET,2,38,29,9,5,5,0.2631578947368421,0.1724137931034483,0.5555555555555556,0.3831417624521073,0.04636422646876365,0.656390398129087,0.3001335596868017,True,-0.08300820276530557,0.08300820276530557,0.20334826732362468,0.5034818270104265,0.7631578947368421,newcombe_wilson_difference_in_proportions
GLMNET,3,38,26,12,7,5,0.3157894736842105,0.2692307692307692,0.4166666666666667,0.14743589743589747,-0.14687825389281128,0.44252109522894945,0.16471865250287057,True,0.017282755066973104,0.017282755066973104,0.22476434791463387,0.38948300041750433,0.6842105263157895,newcombe_wilson_difference_in_proportions
GLMNET,4,38,27,11,4,3,0.18421052631578946,0.14814814814814814,0.2727272727272727,0.12457912457912457,-0.1242574531237571,0.43071633527311365,0.08452655839010655,True,-0.04005256618901802,0.04005256618901802,0.11536943635204581,0.19989599474215236,0.7105263157894737,newcombe_wilson_difference_in_proportions
GLMNET,5,38,32,6,7,0,0.18421052631578946,0.21875,0.0,-0.21875,-0.38754993793964265,0.18638656319808222,0.023466720091617613,True,0.2422167200916176,0.2422167200916176,0.11694726666960684,0.14041398676122444,0.8421052631578947,newcombe_wilson_difference_in_proportions
GLMNET,6,39,27,12,3,1,0.10256410256410256,0.1111111111111111,0.08333333333333333,-0.027777777777777776,-0.2105534039511427,0.2523380394321663,-0.013099719268230326,True,0.01467805850954745,0.01467805850954745,0.07975533417898448,0.06665561491075417,0.6923076923076923,newcombe_wilson_difference_in_proportions
GLMNET,7,38,27,11,3,1,0.10526315789473684,0.1111111111111111,0.09090909090909091,-0.020202020202020193,-0.20539292675763474,0.2753020372580275,-0.03560201309731561,True,-0.015399992895295415,0.015399992895295415,0.08438057967130082,0.048778566573985195,0.7105263157894737,newcombe_wilson_difference_in_proportions
GLMNET,8,38,18,20,2,4,0.15789473684210525,0.1111111111111111,0.2,0.0888888888888889,-0.15866386477024905,0.31927594238836465,-0.07013015387862066,True,-0.15901904276750956,0.15901904276750956,0.1810874862739847,0.1109573323953641,0.47368421052631576,newcombe_wilson_difference_in_proportions
GLMNET,9,38,31,7,7,1,0.21052631578947367,0.22580645161290322,0.14285714285714285,-0.08294930875576037,-0.29133350262624913,0.3038477258514237,-0.1484300330264644,True,-0.06548072427070403,0.06548072427070403,0.27143994979944663,0.1230099167729823,0.8157894736842105,newcombe_wilson_difference_in_proportions
GLMNET,10,38,25,13,7,5,0.3157894736842105,0.28,0.38461538461538464,0.10461538461538461,-0.180670780049908,0.39871444279785595,-0.46476670419619476,False,-0.5693820888115794,0.5693820888115794,0.6418771226777832,0.17711041848158857,0.6578947368421053,newcombe_wilson_difference_in_proportions
