targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.09947643979057591,38,7.444653446,8933.5841352
Uplift score,2,0.19895287958115182,76,10.482370331,12578.8443972
Uplift score,3,0.29842931937172773,114,12.253641719,14704.3700628
Uplift score,4,0.39790575916230364,152,13.52083881,16225.006572
Uplift score,5,0.4973821989528796,190,14.1610725161,16993.28701932
Uplift score,6,0.5968586387434555,228,14.1069551953,16928.34623436
Uplift score,7,0.6963350785340314,266,13.3922113898,16070.65366776
Uplift score,8,0.7958115183246073,304,11.8376792698,14205.215123760001
Uplift score,9,0.8952879581151832,342,9.2997422438,11159.690692560001
Uplift score,10,1.0,382,3.404953587799998,4085.9443053599975
Current risk score,1,0.09947643979057591,38,3.1941545166000003,3832.9854199200004
Current risk score,2,0.19895287958115182,76,4.0668472102,4880.216652239999
Current risk score,3,0.29842931937172773,114,3.4568931688,4148.271802560001
Current risk score,4,0.39790575916230364,152,1.4883261224999997,1785.9913469999997
Current risk score,5,0.4973821989528796,190,0.2963903426000001,355.6684111200001
Current risk score,6,0.5968586387434555,228,0.5892499494999996,707.0999393999996
Current risk score,7,0.6963350785340314,266,-0.6390124844000002,-766.8149812800003
Current risk score,8,0.7958115183246073,304,-0.5790752384000002,-694.8902860800002
Current risk score,9,0.8952879581151832,342,1.4242998244999998,1709.1597893999997
Current risk score,10,1.0,382,3.4049535877999997,4085.94430536
