decile,uplift_marginal_gross_savings,risk_marginal_gross_savings,marginal_advantage
1,8933.5841352,3832.9854199200004,5100.598715280001
2,3645.260262,1047.231232319999,2598.029029680001
3,2125.5256656,-731.9448496799987,2857.470515279999
4,1520.6365091999996,-2362.280455560001,3882.9169647600006
5,768.2804473199994,-1430.3229358799995,2198.603383199999
6,-64.94078495999929,351.4315282799995,-416.3723132399988
7,-857.6925666000006,-1473.9149206799998,616.2223540799991
8,-1865.4385439999987,71.92469520000009,-1937.3632391999988
9,-3045.5244311999995,2404.05007548,-5449.574506679999
10,-7073.746387200004,2376.78451596,-9450.530903160005
