targeting_approach,decile,marginal_gross_savings,cumulative_gross_savings
Uplift score,1,8933.5841352,8933.5841352
Uplift score,2,3645.260262,12578.8443972
Uplift score,3,2125.5256656,14704.3700628
Uplift score,4,1520.6365091999996,16225.006572
Uplift score,5,768.2804473199994,16993.28701932
Uplift score,6,-64.94078495999929,16928.34623436
Uplift score,7,-857.6925666000006,16070.65366776
Uplift score,8,-1865.4385439999987,14205.215123760001
Uplift score,9,-3045.5244311999995,11159.690692560001
Uplift score,10,-7073.746387200004,4085.9443053599975
Current risk score,1,3832.9854199200004,3832.9854199200004
Current risk score,2,1047.231232319999,4880.216652239999
Current risk score,3,-731.9448496799987,4148.271802560001
Current risk score,4,-2362.280455560001,1785.9913469999997
Current risk score,5,-1430.3229358799995,355.6684111200001
Current risk score,6,351.4315282799995,707.0999393999996
Current risk score,7,-1473.9149206799998,-766.8149812800003
Current risk score,8,71.92469520000009,-694.8902860800002
Current risk score,9,2404.05007548,1709.1597893999997
Current risk score,10,2376.78451596,4085.94430536
