feature,mean_abs_benefit_shap,mean_signed_benefit_shap,pct_positive_benefit_shap,importance_type
ed_visits_last_6m,0.19164006,-0.13621356,0.2486910994764398,xgboost_raw_margin_shap_difference
total_cost_last_6m,0.18922365,-0.09191555,0.5340314136125655,xgboost_raw_margin_shap_difference
percolator_score,0.1767404,-0.030519024,0.5759162303664922,xgboost_raw_margin_shap_difference
ed_visits_last_30d,0.117995314,-0.013690513,0.6910994764397905,xgboost_raw_margin_shap_difference
age,0.10992496,0.0029309464,0.6544502617801047,xgboost_raw_margin_shap_difference
asthma_flag,0.10244314,0.014249709,0.824607329842932,xgboost_raw_margin_shap_difference
bh_flag,0.08987984,0.034975212,0.5340314136125655,xgboost_raw_margin_shap_difference
substance_use_flag,0.06865123,0.0014365475,0.774869109947644,xgboost_raw_margin_shap_difference
risk_tier_3,0.06660977,0.004858388,0.824607329842932,xgboost_raw_margin_shap_difference
htn_flag,0.057600267,0.009228201,0.7408376963350786,xgboost_raw_margin_shap_difference
opioid_flag,0.05415853,0.008498674,0.900523560209424,xgboost_raw_margin_shap_difference
gender_F,0.0440803,-0.008315283,0.24345549738219896,xgboost_raw_margin_shap_difference
rx_count_last_6m,0.044074494,0.0021395767,0.42408376963350786,xgboost_raw_margin_shap_difference
current_risk_score,0.04361728,-0.020149086,0.28272251308900526,xgboost_raw_margin_shap_difference
anxiety_flag,0.040619683,0.013154104,0.6256544502617801,xgboost_raw_margin_shap_difference
chf_flag,0.02327512,-0.0043708254,0.11780104712041885,xgboost_raw_margin_shap_difference
county_MULTNOMAH,0.022778511,-0.0013663616,0.17277486910994763,xgboost_raw_margin_shap_difference
food_insecurity_flag,0.018065477,0.007463664,0.9162303664921466,xgboost_raw_margin_shap_difference
risk_tier_4,0.014108405,-0.0038176582,0.3507853403141361,xgboost_raw_margin_shap_difference
financial_strain_flag,0.013055504,0.0010058942,0.8821989528795812,xgboost_raw_margin_shap_difference
admits_last_6m,0.012229143,0.003187659,0.7643979057591623,xgboost_raw_margin_shap_difference
healthliteracy_challenges_flag,0.011857448,-0.0023168235,0.7460732984293194,xgboost_raw_margin_shap_difference
copd_flag,0.010363674,-0.0032152634,0.12827225130890052,xgboost_raw_margin_shap_difference
op_visits_last_6m,0.00897771,-0.0010933371,0.5340314136125655,xgboost_raw_margin_shap_difference
cad_flag,0.0074166227,1.6589283e-05,0.10209424083769633,xgboost_raw_margin_shap_difference
gender_M,0.0060564145,0.0013880536,0.24345549738219896,xgboost_raw_margin_shap_difference
dual_elg,0.0042204713,-0.0030281653,0.22774869109947643,xgboost_raw_margin_shap_difference
depression_flag,0.0040377555,0.00075806305,0.7172774869109948,xgboost_raw_margin_shap_difference
county_LINN,0.003266716,0.0007568298,0.9424083769633508,xgboost_raw_margin_shap_difference
hyperlipidemia_flag,0.0027216272,-0.00010101392,0.1649214659685864,xgboost_raw_margin_shap_difference
transportation_barrier_flag,0.0026692154,-1.1137311e-05,0.8926701570680629,xgboost_raw_margin_shap_difference
risk_tier_Missing,0.002199717,-2.6412177e-05,0.2094240837696335,xgboost_raw_margin_shap_difference
housing_instability_flag,0.001808551,0.00040191904,0.09424083769633508,xgboost_raw_margin_shap_difference
diabetes_flag,0.0008423478,0.0005412632,0.8219895287958116,xgboost_raw_margin_shap_difference
polypharmacy_flag,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
observation_stays_last_6m,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
gender_Unseen,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
ckd_flag,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_CLARK,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_CLACKAMAS,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_BENTON,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_BAKER,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_ADA,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_CURRY,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_CLATSOP,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_COLUMBIA,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_FLAGLER,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_GILLIAM,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_GRANT,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_GRAY,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_GRAYS_HARBOR,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_DEL_NORTE,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_COOS,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_CROOK,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_HENRICO,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_HAYS,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_HOOD_RIVER,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_JACKSON,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_KLAMATH,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_KLICKITAT,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_JEFFERSON,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_JOSEPHINE,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_LANE,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_LAKE,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
county_LINCOLN,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
