feature,mean_abs_shap,model
percolator_score,0.39439124,Treated Model
ed_visits_last_6m,0.23315205,Treated Model
total_cost_last_6m,0.17964165,Treated Model
age,0.12649713,Treated Model
ed_visits_last_30d,0.109909505,Treated Model
risk_tier_3,0.103873625,Treated Model
substance_use_flag,0.073299475,Treated Model
asthma_flag,0.068426944,Treated Model
bh_flag,0.062716536,Treated Model
anxiety_flag,0.061188832,Treated Model
opioid_flag,0.060173243,Treated Model
current_risk_score,0.03103502,Treated Model
op_visits_last_6m,0.028004201,Treated Model
financial_strain_flag,0.022083852,Treated Model
rx_count_last_6m,0.02088541,Treated Model
htn_flag,0.015237515,Treated Model
polypharmacy_flag,0.008893784,Treated Model
food_insecurity_flag,0.008089316,Treated Model
admits_last_6m,0.006292024,Treated Model
gender_F,0.0016253059,Treated Model
state_UT,0.0,Treated Model
state_VA,0.0,Treated Model
county_UNION,0.0,Treated Model
county_UMATILLA,0.0,Treated Model
county_TILLAMOOK,0.0,Treated Model
county_SUTTER,0.0,Treated Model
county_SAN_DIEGO,0.0,Treated Model
county_SALT_LAKE,0.0,Treated Model
county_SACRAMENTO,0.0,Treated Model
county_RIVERSIDE,0.0,Treated Model
county_POLK,0.0,Treated Model
county_MUSSELSHELL,0.0,Treated Model
county_MULTNOMAH,0.0,Treated Model
county_MORROW,0.0,Treated Model
county_MARION,0.0,Treated Model
county_MALHEUR,0.0,Treated Model
county_LINN,0.0,Treated Model
county_LINCOLN,0.0,Treated Model
county_LASSEN,0.0,Treated Model
county_WALLOWA,0.0,Treated Model
county_WASCO,0.0,Treated Model
county_WASHINGTON,0.0,Treated Model
risk_tier_Missing,0.0,Treated Model
state_WA,0.0,Treated Model
state_TX,0.0,Treated Model
state_Unseen,0.0,Treated Model
risk_tier_1,0.0,Treated Model
risk_tier_2,0.0,Treated Model
risk_tier_4,0.0,Treated Model
risk_tier_5,0.0,Treated Model
county_LAKE,0.0,Treated Model
county_WHEELER,0.0,Treated Model
state_OR,0.0,Treated Model
state_MT,0.0,Treated Model
state_ID,0.0,Treated Model
state_FL,0.0,Treated Model
state_CA,0.0,Treated Model
county_Unseen,0.0,Treated Model
county_YAMHILL,0.0,Treated Model
county_LANE,0.0,Treated Model
county_HARNEY,0.0,Treated Model
county_KLICKITAT,0.0,Treated Model
county_CLATSOP,0.0,Treated Model
county_CLACKAMAS,0.0,Treated Model
county_BENTON,0.0,Treated Model
county_BAKER,0.0,Treated Model
county_ADA,0.0,Treated Model
gender_Unseen,0.0,Treated Model
gender_M,0.0,Treated Model
observation_stays_last_6m,0.0,Treated Model
healthliteracy_challenges_flag,0.0,Treated Model
transportation_barrier_flag,0.0,Treated Model
housing_instability_flag,0.0,Treated Model
cad_flag,0.0,Treated Model
hyperlipidemia_flag,0.0,Treated Model
ckd_flag,0.0,Treated Model
depression_flag,0.0,Treated Model
copd_flag,0.0,Treated Model
chf_flag,0.0,Treated Model
diabetes_flag,0.0,Treated Model
county_CLARK,0.0,Treated Model
county_COLUMBIA,0.0,Treated Model
county_KLAMATH,0.0,Treated Model
county_COOS,0.0,Treated Model
county_JOSEPHINE,0.0,Treated Model
county_JEFFERSON,0.0,Treated Model
county_JACKSON,0.0,Treated Model
county_HOOD_RIVER,0.0,Treated Model
county_HENRICO,0.0,Treated Model
county_HAYS,0.0,Treated Model
dual_elg,0.0,Treated Model
county_GRAYS_HARBOR,0.0,Treated Model
county_GRAY,0.0,Treated Model
county_GRANT,0.0,Treated Model
county_GILLIAM,0.0,Treated Model
county_FLAGLER,0.0,Treated Model
county_DOUGLAS,0.0,Treated Model
county_DESCHUTES,0.0,Treated Model
county_DEL_NORTE,0.0,Treated Model
county_CURRY,0.0,Treated Model
county_CROOK,0.0,Treated Model
risk_tier_Unseen,0.0,Treated Model
ed_visits_last_6m,0.5311443,Control Model
percolator_score,0.3099271,Control Model
total_cost_last_6m,0.2710239,Control Model
current_risk_score,0.12176872,Control Model
ed_visits_last_30d,0.069858395,Control Model
admits_last_6m,0.062761925,Control Model
age,0.04866873,Control Model
asthma_flag,0.029140066,Control Model
rx_count_last_6m,0.026495712,Control Model
risk_tier_4,0.024699371,Control Model
htn_flag,0.021495087,Control Model
gender_M,0.016675688,Control Model
gender_F,0.015786698,Control Model
anxiety_flag,0.013576132,Control Model
risk_tier_3,0.012742774,Control Model
dual_elg,0.011266306,Control Model
op_visits_last_6m,0.011245174,Control Model
depression_flag,0.010041189,Control Model
bh_flag,0.00901831,Control Model
county_LINN,0.0,Control Model
county_SACRAMENTO,0.0,Control Model
county_UMATILLA,0.0,Control Model
county_TILLAMOOK,0.0,Control Model
county_SUTTER,0.0,Control Model
county_SAN_DIEGO,0.0,Control Model
county_LANE,0.0,Control Model
county_SALT_LAKE,0.0,Control Model
county_POLK,0.0,Control Model
county_RIVERSIDE,0.0,Control Model
county_MALHEUR,0.0,Control Model
county_LASSEN,0.0,Control Model
county_MUSSELSHELL,0.0,Control Model
county_MULTNOMAH,0.0,Control Model
county_WALLOWA,0.0,Control Model
county_LINCOLN,0.0,Control Model
county_MORROW,0.0,Control Model
county_MARION,0.0,Control Model
county_UNION,0.0,Control Model
county_Unseen,0.0,Control Model
county_WASCO,0.0,Control Model
county_WASHINGTON,0.0,Control Model
risk_tier_2,0.0,Control Model
risk_tier_1,0.0,Control Model
state_Unseen,0.0,Control Model
state_WA,0.0,Control Model
state_VA,0.0,Control Model
state_UT,0.0,Control Model
state_TX,0.0,Control Model
state_OR,0.0,Control Model
state_MT,0.0,Control Model
risk_tier_5,0.0,Control Model
state_ID,0.0,Control Model
state_FL,0.0,Control Model
risk_tier_Missing,0.0,Control Model
county_KLICKITAT,0.0,Control Model
state_CA,0.0,Control Model
county_YAMHILL,0.0,Control Model
county_WHEELER,0.0,Control Model
county_LAKE,0.0,Control Model
county_HARNEY,0.0,Control Model
county_KLAMATH,0.0,Control Model
housing_instability_flag,0.0,Control Model
county_BAKER,0.0,Control Model
county_ADA,0.0,Control Model
gender_Unseen,0.0,Control Model
polypharmacy_flag,0.0,Control Model
opioid_flag,0.0,Control Model
observation_stays_last_6m,0.0,Control Model
healthliteracy_challenges_flag,0.0,Control Model
transportation_barrier_flag,0.0,Control Model
food_insecurity_flag,0.0,Control Model
county_JOSEPHINE,0.0,Control Model
financial_strain_flag,0.0,Control Model
cad_flag,0.0,Control Model
hyperlipidemia_flag,0.0,Control Model
ckd_flag,0.0,Control Model
substance_use_flag,0.0,Control Model
copd_flag,0.0,Control Model
chf_flag,0.0,Control Model
diabetes_flag,0.0,Control Model
county_BENTON,0.0,Control Model
county_CLACKAMAS,0.0,Control Model
county_CLARK,0.0,Control Model
county_CLATSOP,0.0,Control Model
county_JEFFERSON,0.0,Control Model
county_JACKSON,0.0,Control Model
county_HOOD_RIVER,0.0,Control Model
county_HENRICO,0.0,Control Model
county_HAYS,0.0,Control Model
county_GRAYS_HARBOR,0.0,Control Model
county_GRAY,0.0,Control Model
county_GRANT,0.0,Control Model
county_GILLIAM,0.0,Control Model
county_FLAGLER,0.0,Control Model
county_DOUGLAS,0.0,Control Model
county_DESCHUTES,0.0,Control Model
county_DEL_NORTE,0.0,Control Model
county_CURRY,0.0,Control Model
county_CROOK,0.0,Control Model
county_COOS,0.0,Control Model
county_COLUMBIA,0.0,Control Model
risk_tier_Unseen,0.0,Control Model
