risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,8,30,0.26666666666666666,predicted-benefit tercile (top third)
1,Medium benefit,15,30,0.5,predicted-benefit tercile (middle third)
1,Low benefit,7,30,0.23333333333333334,predicted-benefit tercile (bottom third)
2,High benefit,5,45,0.1111111111111111,predicted-benefit tercile (top third)
2,Medium benefit,24,45,0.5333333333333333,predicted-benefit tercile (middle third)
2,Low benefit,16,45,0.35555555555555557,predicted-benefit tercile (bottom third)
3,High benefit,9,67,0.13432835820895522,predicted-benefit tercile (top third)
3,Medium benefit,20,67,0.29850746268656714,predicted-benefit tercile (middle third)
3,Low benefit,38,67,0.5671641791044776,predicted-benefit tercile (bottom third)
4,High benefit,58,148,0.3918918918918919,predicted-benefit tercile (top third)
4,Medium benefit,31,148,0.20945945945945946,predicted-benefit tercile (middle third)
4,Low benefit,59,148,0.39864864864864863,predicted-benefit tercile (bottom third)
5,High benefit,7,12,0.5833333333333334,predicted-benefit tercile (top third)
5,Medium benefit,2,12,0.16666666666666666,predicted-benefit tercile (middle third)
5,Low benefit,3,12,0.25,predicted-benefit tercile (bottom third)
