model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
XGBoost,1,0.10209424083769633,39,27,12,5,4,0.19384673,0.14814814814814814,-0.11861026542564312,0.44291525029293594,True
XGBoost,2,0.20157068062827224,77,46,31,13,12,0.1368307,0.10448807854137449,-0.1024988698516017,0.3105655701145689,True
XGBoost,3,0.3010471204188482,115,78,37,16,13,0.10689552,0.14622314622314625,-0.021712777545929957,0.32377433603225,True
XGBoost,4,0.4005235602094241,153,105,48,18,14,0.08854282,0.12023809523809526,-0.01717359103202437,0.2727287043277573,True
XGBoost,5,0.5,191,131,60,22,18,0.07417462,0.13206106870229006,0.007274631293488029,0.2684412646427218,True
XGBoost,6,0.6020942408376964,230,162,68,29,20,0.061240964,0.1151053013798112,-0.000656110104550342,0.24284076695090237,True
XGBoost,7,0.7015706806282722,268,188,80,35,23,0.04974417,0.10132978723404254,-0.0058558820055836375,0.2191739399472754,True
XGBoost,8,0.8010471204188482,306,214,92,39,26,0.038357023,0.10036570499796829,0.000523366685080906,0.20976926111603478,True
XGBoost,9,0.900523560209424,344,237,107,44,28,0.026511086,0.0760282345518356,-0.01578954476068488,0.1768136636044732,True
XGBoost,10,1.0,382,266,116,50,32,0.008913491,0.08789214415348717,-0.001441320675305946,0.18514117843559696,True
