uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,39,0.19384673,0.23076923076923078,0.6923076923076923,0.23905192,0.43289864
2,38,0.078314245,0.42105263157894735,0.5,0.2539106,0.33222482
3,38,0.046237398,0.10526315789473684,0.8421052631578947,0.15301809,0.1992555
4,38,0.03300177,0.07894736842105263,0.7105263157894737,0.12114402,0.15414579
5,38,0.016323725,0.21052631578947367,0.6842105263157895,0.15369038,0.1700141
6,39,-0.0021008013,0.23076923076923078,0.7948717948717948,0.13756227,0.13546146
7,38,-0.019841736,0.23684210526315788,0.6842105263157895,0.21445142,0.19460969
8,38,-0.04195232,0.18421052631578946,0.6842105263157895,0.25468382,0.21273151
9,38,-0.06887988,0.18421052631578946,0.6052631578947368,0.22486456,0.15598467
10,38,-0.15039104,0.2631578947368421,0.7631578947368421,0.4424765,0.2920855
