model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
XGBoost,1,39,27,12,5,4,0.23076923076923078,0.18518518518518517,0.3333333333333333,0.14814814814814814,-0.11861026542564312,0.44291525029293594,0.19384673,True,0.04569858422985784,0.04569858422985784,0.23905192,0.43289864,0.6923076923076923,newcombe_wilson_difference_in_proportions
XGBoost,2,38,19,19,8,8,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.0,-0.28757319719048263,0.28757319719048263,0.078314245,True,0.07831424474716187,0.07831424474716187,0.25391063,0.33222482,0.5,newcombe_wilson_difference_in_proportions
XGBoost,3,38,32,6,3,1,0.10526315789473684,0.09375,0.16666666666666666,0.07291666666666666,-0.12881364254606534,0.47446687370223917,0.046237398,True,-0.026679268727699906,0.026679268727699906,0.15301809,0.19925548,0.8421052631578947,newcombe_wilson_difference_in_proportions
XGBoost,4,38,27,11,2,1,0.07894736842105263,0.07407407407407407,0.09090909090909091,0.01683501683501684,-0.15939148093639666,0.30824118942261436,0.03300177,True,0.016166752499060993,0.016166752499060993,0.121144034,0.15414582,0.7105263157894737,newcombe_wilson_difference_in_proportions
XGBoost,5,38,26,12,4,4,0.21052631578947367,0.15384615384615385,0.3333333333333333,0.17948717948717946,-0.08704248453938462,0.47056854254688896,0.016323723,True,-0.16316345658821935,0.16316345658821935,0.15369037,0.17001411,0.6842105263157895,newcombe_wilson_difference_in_proportions
XGBoost,6,39,31,8,7,2,0.23076923076923078,0.22580645161290322,0.25,0.02419354838709678,-0.22392552193248877,0.3828086577364387,-0.0021008013,True,-0.026294349715293902,0.026294349715293902,0.13756229,0.13546148,0.7948717948717948,newcombe_wilson_difference_in_proportions
XGBoost,7,38,26,12,6,3,0.23684210526315788,0.23076923076923078,0.25,0.019230769230769218,-0.22965364003716005,0.3261507357439356,-0.019841736,True,-0.039072505413339675,0.039072505413339675,0.21445142,0.19460969,0.6842105263157895,newcombe_wilson_difference_in_proportions
XGBoost,8,38,26,12,4,3,0.18421052631578946,0.15384615384615385,0.25,0.09615384615384615,-0.14647681531961063,0.39317918727694057,-0.04195232,True,-0.138106165597072,0.138106165597072,0.25468385,0.21273151,0.6842105263157895,newcombe_wilson_difference_in_proportions
XGBoost,9,38,23,15,5,2,0.18421052631578946,0.21739130434782608,0.13333333333333333,-0.08405797101449275,-0.3073755728457622,0.18951935082792476,-0.068879895,True,0.01517807610224986,0.01517807610224986,0.22486456,0.15598467,0.6052631578947368,newcombe_wilson_difference_in_proportions
XGBoost,10,38,29,9,6,4,0.2631578947368421,0.20689655172413793,0.4444444444444444,0.2375478927203065,-0.07341127874588857,0.5461317666511452,-0.15039106,False,-0.38793894985398114,0.38793894985398114,0.44247648,0.29208547,0.7631578947368421,newcombe_wilson_difference_in_proportions
