uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,39,0.19384673,0.23076923076923078,0.6923076923076923,0.23905192,0.43289864,0.19384673,7.560022562742233,9072.02707529068,9750,-677.9729247093201,-0.06953568458557129
2,38,0.078314245,0.42105263157894735,0.5,0.2539106,0.33222482,0.078314245,2.975941300392151,3571.129560470581,9500,-5928.870439529419,-0.624091625213623
3,38,0.046237398,0.10526315789473684,0.8421052631578947,0.15301809,0.1992555,0.046237398,1.7570211216807365,2108.425346016884,9500,-7391.574653983116,-0.7780604898929596
4,38,0.03300177,0.07894736842105263,0.7105263157894737,0.12114402,0.15414579,0.03300177,1.2540672346949577,1504.8806816339493,9500,-7995.119318366051,-0.8415915071964264
5,38,0.016323725,0.21052631578947367,0.6842105263157895,0.15369038,0.1700141,0.016323725,0.620301540941,744.3618491292,9500,-8755.6381508708,-0.9216461211442948
6,39,-0.0021008013,0.23076923076923078,0.7948717948717948,0.13756227,0.13546146,-0.0021008013,-0.08193125179968774,-98.31750215962529,9750,-9848.317502159625,-1.010083846375346
7,38,-0.019841736,0.23684210526315788,0.6842105263157895,0.21445142,0.19460969,-0.019841736,-0.7539859749376774,-904.7831699252129,9500,-10404.783169925213,-1.095240333676338
8,38,-0.04195232,0.18421052631578946,0.6842105263157895,0.25468382,0.21273151,-0.04195232,-1.5941881388425827,-1913.0257666110992,9500,-11413.0257666111,-1.2013711333274841
9,38,-0.06887988,0.18421052631578946,0.6052631578947368,0.22486456,0.15598467,-0.06887988,-2.6174354404211044,-3140.9225285053253,9500,-12640.922528505325,-1.3306234240531922
10,38,-0.15039104,0.2631578947368421,0.7631578947368421,0.4424765,0.2920855,-0.15039104,-5.71485960483551,-6857.831525802612,9500,-16357.831525802612,-1.7218770027160644
