uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,39,0.17821993,0.20512820512820512,0.5897435897435898,0.14791602,0.32613596
2,38,0.0843473,0.18421052631578946,0.5526315789473685,0.15092252,0.23526983
3,38,0.05287319,0.15789473684210525,0.7631578947368421,0.11028326,0.16315645
4,38,0.038913988,0.13157894736842105,0.8157894736842105,0.11914187,0.15805586
5,38,0.03009499,0.15789473684210525,0.7894736842105263,0.123152845,0.15324783
6,39,0.015164147,0.10256410256410256,0.7948717948717948,0.1493668,0.16453093
7,38,-0.00872355,0.23684210526315788,0.7368421052631579,0.16658023,0.15785667
8,38,-0.05276546,0.23684210526315788,0.7105263157894737,0.2527087,0.19994324
9,38,-0.10841074,0.3157894736842105,0.5526315789473685,0.40824127,0.29983053
10,38,-0.25342262,0.42105263157894735,0.6578947368421053,0.57966703,0.32624444
